index;count
2021-05-05;22
2021-05-06;22
2021-05-07;22
2021-05-08;22
2021-05-09;22
2021-05-10;22
2021-05-11;22
2021-05-12;22
2021-05-13;22
2021-05-14;22
2021-05-15;22
2021-05-16;22
2021-05-17;22
2021-05-18;22
2021-05-19;22
2021-05-20;22
2021-05-21;22
2021-05-22;22
2021-05-23;22
2021-05-24;22
2021-05-25;22
2021-05-26;32
2021-05-27;43
2021-05-28;48
2021-05-29;48
2021-05-30;48
2021-05-31;48
2021-06-01;48
2021-06-02;48
2021-06-03;48
2021-06-04;48
2021-06-05;48
2021-06-06;48
2021-06-07;48
2021-06-08;48
2021-06-09;48
2021-06-10;48
2021-06-11;48
2021-06-12;48
2021-06-13;48
2021-06-14;48
2021-06-15;48
2021-06-16;48
2021-06-17;82
2021-06-18;247
2021-06-19;331
2021-06-20;331
2021-06-21;331
2021-06-22;429
2021-06-23;479
2021-06-24;626
2021-06-25;626
2021-06-26;626
2021-06-27;626
2021-06-28;635
2021-06-29;642
2021-06-30;669
2021-07-01;669
2021-07-02;669
2021-07-03;669
2021-07-04;669
2021-07-05;669
2021-07-06;669
2021-07-07;699
2021-07-08;699
2021-07-09;699
2021-07-10;746
2021-07-11;762
2021-07-12;785
2021-07-13;805
2021-07-14;839
2021-07-15;840
2021-07-16;870
2021-07-17;870
2021-07-18;870
2021-07-19;870
2021-07-20;870
2021-07-21;874
