index;count
2021-05-31;14
2021-06-01;15
2021-06-02;15
2021-06-03;15
2021-06-04;15
2021-06-05;15
2021-06-06;15
2021-06-07;15
2021-06-08;15
2021-06-09;15
2021-06-10;15
2021-06-11;15
2021-06-12;15
2021-06-13;15
2021-06-14;15
2021-06-15;15
2021-06-16;15
2021-06-17;15
2021-06-18;15
2021-06-19;15
2021-06-20;15
2021-06-21;15
2021-06-22;15
2021-06-23;15
2021-06-24;15
2021-06-25;15
2021-06-26;15
2021-06-27;15
2021-06-28;15
2021-06-29;15
2021-06-30;15
2021-07-01;15
2021-07-02;15
2021-07-03;15
2021-07-04;15
2021-07-05;24
2021-07-06;24
2021-07-07;24
2021-07-08;28
2021-07-09;30
2021-07-10;30
2021-07-11;30
2021-07-12;30
2021-07-13;41
2021-07-14;41
2021-07-15;46
2021-07-16;115
2021-07-17;115
2021-07-18;115
2021-07-19;126
2021-07-20;126
2021-07-21;127
2021-07-22;131
