Dose Aplicada;Data;Quantidade
1ªDose;2021-01-23;2
1ªDose;2021-01-24;2
1ªDose;2021-01-26;1
1ªDose;2021-01-28;2
1ªDose;2021-01-29;4
1ªDose;2021-01-31;1
1ªDose;2021-02-01;13
1ªDose;2021-02-02;1
1ªDose;2021-02-04;2
1ªDose;2021-02-05;41
1ªDose;2021-02-06;1
1ªDose;2021-02-10;5
1ªDose;2021-02-11;9
1ªDose;2021-02-12;23
1ªDose;2021-02-18;12
1ªDose;2021-02-19;12
1ªDose;2021-02-22;9
1ªDose;2021-02-23;11
1ªDose;2021-02-24;6
1ªDose;2021-02-25;2
1ªDose;2021-02-26;7
1ªDose;2021-03-01;19
1ªDose;2021-03-02;53
1ªDose;2021-03-03;27
1ªDose;2021-03-04;36
1ªDose;2021-03-05;107
1ªDose;2021-03-06;46
1ªDose;2021-03-08;29
1ªDose;2021-03-09;13
1ªDose;2021-03-10;62
1ªDose;2021-03-11;56
1ªDose;2021-03-12;19
1ªDose;2021-03-15;18
1ªDose;2021-03-16;8
1ªDose;2021-03-17;29
1ªDose;2021-03-18;6
1ªDose;2021-03-19;5
1ªDose;2021-03-23;17
1ªDose;2021-03-24;9
1ªDose;2021-03-25;28
1ªDose;2021-03-26;78
1ªDose;2021-03-29;39
1ªDose;2021-03-31;57
1ªDose;2021-04-01;83
1ªDose;2021-04-02;56
1ªDose;2021-04-03;170
1ªDose;2021-04-05;106
1ªDose;2021-04-06;24
1ªDose;2021-04-07;34
1ªDose;2021-04-08;17
1ªDose;2021-04-09;16
1ªDose;2021-04-12;6
1ªDose;2021-04-13;36
1ªDose;2021-04-14;20
1ªDose;2021-04-15;4
1ªDose;2021-04-16;8
1ªDose;2021-04-19;2
1ªDose;2021-04-20;5
1ªDose;2021-04-23;12
1ªDose;2021-04-26;1
1ªDose;2021-04-27;4
2ªDose;2021-01-29;1
2ªDose;2021-02-11;2
2ªDose;2021-02-18;2
2ªDose;2021-02-19;1
2ªDose;2021-02-22;5
2ªDose;2021-02-23;3
2ªDose;2021-02-24;9
2ªDose;2021-02-25;2
2ªDose;2021-02-26;9
2ªDose;2021-02-28;2
2ªDose;2021-03-01;5
2ªDose;2021-03-02;1
2ªDose;2021-03-04;3
2ªDose;2021-03-05;2
2ªDose;2021-03-06;2
2ªDose;2021-03-10;8
2ªDose;2021-03-11;4
2ªDose;2021-03-12;3
2ªDose;2021-03-15;17
2ªDose;2021-03-16;1
2ªDose;2021-03-17;1
2ªDose;2021-03-18;14
2ªDose;2021-03-19;12
2ªDose;2021-03-22;10
2ªDose;2021-03-24;2
2ªDose;2021-03-25;12
2ªDose;2021-03-26;6
2ªDose;2021-03-29;1
2ªDose;2021-04-02;2
2ªDose;2021-04-03;3
2ªDose;2021-04-05;4
2ªDose;2021-04-06;32
2ªDose;2021-04-09;5
2ªDose;2021-04-12;56
2ªDose;2021-04-13;50
2ªDose;2021-04-14;10
2ªDose;2021-04-15;6
2ªDose;2021-04-16;13
2ªDose;2021-04-19;14
2ªDose;2021-04-23;52
2ªDose;2021-04-26;34
