Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;47
1ªDose;2021-01-21;63
1ªDose;2021-01-22;146
1ªDose;2021-01-25;90
1ªDose;2021-01-26;44
1ªDose;2021-01-27;15
1ªDose;2021-01-28;7
1ªDose;2021-01-29;33
1ªDose;2021-02-01;3
1ªDose;2021-02-02;1
1ªDose;2021-02-03;46
1ªDose;2021-02-04;63
1ªDose;2021-02-05;75
1ªDose;2021-02-10;4
1ªDose;2021-02-11;288
1ªDose;2021-02-12;74
1ªDose;2021-02-13;82
1ªDose;2021-02-15;328
1ªDose;2021-02-16;161
1ªDose;2021-02-17;26
1ªDose;2021-02-18;31
1ªDose;2021-02-19;21
1ªDose;2021-02-23;38
1ªDose;2021-02-24;56
1ªDose;2021-02-25;9
1ªDose;2021-02-27;1
1ªDose;2021-03-01;5
1ªDose;2021-03-03;13
1ªDose;2021-03-04;330
1ªDose;2021-03-05;18
1ªDose;2021-03-09;426
1ªDose;2021-03-10;88
1ªDose;2021-03-11;160
1ªDose;2021-03-16;571
1ªDose;2021-03-17;75
1ªDose;2021-03-18;22
1ªDose;2021-03-19;11
1ªDose;2021-03-23;827
1ªDose;2021-03-24;852
1ªDose;2021-03-25;611
1ªDose;2021-03-26;98
1ªDose;2021-03-27;1655
1ªDose;2021-03-29;323
1ªDose;2021-03-30;743
1ªDose;2021-03-31;1195
1ªDose;2021-04-05;26
1ªDose;2021-04-06;24
1ªDose;2021-04-07;51
1ªDose;2021-04-08;31
1ªDose;2021-04-09;26
1ªDose;2021-04-12;48
1ªDose;2021-04-13;26
1ªDose;2021-04-14;10
1ªDose;2021-04-15;322
1ªDose;2021-04-16;72
1ªDose;2021-04-19;9
1ªDose;2021-04-20;32
1ªDose;2021-04-22;8
1ªDose;2021-04-23;8
1ªDose;2021-04-29;9
1ªDose;2021-04-30;25
2ªDose;2021-02-08;339
2ªDose;2021-02-10;275
2ªDose;2021-02-11;118
2ªDose;2021-02-12;26
2ªDose;2021-02-13;2
2ªDose;2021-02-14;1
2ªDose;2021-02-15;10
2ªDose;2021-02-16;12
2ªDose;2021-02-17;23
2ªDose;2021-02-18;45
2ªDose;2021-02-19;52
2ªDose;2021-02-22;14
2ªDose;2021-02-23;20
2ªDose;2021-02-24;13
2ªDose;2021-02-25;198
2ªDose;2021-02-26;107
2ªDose;2021-03-01;349
2ªDose;2021-03-02;131
2ªDose;2021-03-03;70
2ªDose;2021-03-04;35
2ªDose;2021-03-05;64
2ªDose;2021-03-08;22
2ªDose;2021-03-09;21
2ªDose;2021-03-10;52
2ªDose;2021-03-11;19
2ªDose;2021-03-12;10
2ªDose;2021-03-15;23
2ªDose;2021-03-16;10
2ªDose;2021-03-17;5
2ªDose;2021-03-18;209
2ªDose;2021-03-19;137
2ªDose;2021-03-23;79
2ªDose;2021-03-24;177
2ªDose;2021-03-25;276
2ªDose;2021-03-26;125
2ªDose;2021-03-27;10
2ªDose;2021-03-29;1
2ªDose;2021-03-30;71
2ªDose;2021-03-31;535
2ªDose;2021-04-01;6
2ªDose;2021-04-05;47
2ªDose;2021-04-06;105
2ªDose;2021-04-07;924
2ªDose;2021-04-08;593
2ªDose;2021-04-09;201
2ªDose;2021-04-12;1463
2ªDose;2021-04-13;618
2ªDose;2021-04-14;918
2ªDose;2021-04-15;395
2ªDose;2021-04-16;102
2ªDose;2021-04-17;2
2ªDose;2021-04-19;25
2ªDose;2021-04-20;57
2ªDose;2021-04-21;3
2ªDose;2021-04-22;93
2ªDose;2021-04-23;49
2ªDose;2021-04-26;32
2ªDose;2021-04-27;34
2ªDose;2021-04-28;40
2ªDose;2021-04-29;142
2ªDose;2021-04-30;55
