index;count
2021-05-04;81
2021-05-05;92
2021-05-06;92
2021-05-07;92
2021-05-08;92
2021-05-09;92
2021-05-10;92
2021-05-11;92
2021-05-12;92
2021-05-13;92
2021-05-14;92
2021-05-15;92
2021-05-16;92
2021-05-17;92
2021-05-18;92
2021-05-19;92
2021-05-20;92
2021-05-21;92
2021-05-22;92
2021-05-23;92
2021-05-24;92
2021-05-25;94
2021-05-26;94
2021-05-27;94
2021-05-28;94
2021-05-29;94
2021-05-30;94
2021-05-31;104
2021-06-01;104
2021-06-02;104
2021-06-03;104
2021-06-04;104
2021-06-05;104
2021-06-06;104
2021-06-07;104
2021-06-08;104
2021-06-09;104
2021-06-10;104
2021-06-11;104
2021-06-12;104
2021-06-13;104
2021-06-14;104
2021-06-15;104
2021-06-16;104
2021-06-17;104
2021-06-18;105
2021-06-19;114
2021-06-20;114
2021-06-21;114
2021-06-22;117
2021-06-23;169
2021-06-24;336
2021-06-25;336
2021-06-26;336
2021-06-27;336
2021-06-28;420
2021-06-29;420
2021-06-30;429
2021-07-01;429
2021-07-02;618
2021-07-03;950
2021-07-04;950
2021-07-05;1195
2021-07-06;1228
2021-07-07;1232
2021-07-08;1233
2021-07-09;1248
2021-07-10;1503
2021-07-11;2067
2021-07-12;2538
2021-07-13;2546
2021-07-14;2546
2021-07-15;2701
2021-07-16;2737
2021-07-17;3046
2021-07-18;3353
2021-07-19;3449
2021-07-20;3451
2021-07-21;3530
2021-07-22;3531
2021-07-23;3536
2021-07-24;3734
