index;count
2021-05-07;24
2021-05-08;24
2021-05-09;24
2021-05-10;40
2021-05-11;69
2021-05-12;95
2021-05-13;95
2021-05-14;95
2021-05-15;95
2021-05-16;95
2021-05-17;95
2021-05-18;95
2021-05-19;95
2021-05-20;95
2021-05-21;95
2021-05-22;95
2021-05-23;95
2021-05-24;95
2021-05-25;95
2021-05-26;95
2021-05-27;201
2021-05-28;261
2021-05-29;261
2021-05-30;261
2021-05-31;261
2021-06-01;261
2021-06-02;261
2021-06-03;263
2021-06-04;263
2021-06-05;263
2021-06-06;263
2021-06-07;263
2021-06-08;263
2021-06-09;263
2021-06-10;263
2021-06-11;263
2021-06-12;263
2021-06-13;283
