index;count
2021-05-04;1
2021-05-05;1
2021-05-06;3
2021-05-07;11
2021-05-08;11
2021-05-09;11
2021-05-10;11
2021-05-11;11
2021-05-12;11
2021-05-13;15
2021-05-14;17
2021-05-15;17
2021-05-16;17
2021-05-17;17
2021-05-18;19
2021-05-19;20
2021-05-20;26
2021-05-21;26
2021-05-22;26
2021-05-23;26
2021-05-24;33
2021-05-25;62
2021-05-26;88
2021-05-27;114
2021-05-28;125
2021-05-29;125
2021-05-30;125
2021-05-31;125
2021-06-01;147
2021-06-02;147
2021-06-03;147
2021-06-04;147
2021-06-05;147
2021-06-06;147
2021-06-07;148
2021-06-08;148
2021-06-09;148
2021-06-10;148
2021-06-11;148
2021-06-12;148
2021-06-13;148
2021-06-14;148
2021-06-15;149
2021-06-16;304
2021-06-17;432
2021-06-18;477
2021-06-19;477
2021-06-20;477
2021-06-21;485
2021-06-22;570
2021-06-23;575
2021-06-24;575
2021-06-25;575
2021-06-26;575
2021-06-27;575
2021-06-28;592
2021-06-29;592
2021-06-30;592
2021-07-01;592
2021-07-02;619
2021-07-03;619
2021-07-04;619
2021-07-05;619
2021-07-06;619
2021-07-07;619
2021-07-08;689
2021-07-09;702
2021-07-10;702
2021-07-11;702
2021-07-12;704
2021-07-13;706
2021-07-14;720
2021-07-15;751
2021-07-16;751
2021-07-17;751
2021-07-18;751
2021-07-19;755
2021-07-20;760
2021-07-21;779
2021-07-22;784
