Dose Aplicada;Data;Quantidade
1ªDose;2021-01-18;1
1ªDose;2021-01-19;45
1ªDose;2021-01-20;251
1ªDose;2021-01-21;260
1ªDose;2021-01-22;356
1ªDose;2021-01-23;87
1ªDose;2021-01-24;1
1ªDose;2021-01-25;324
1ªDose;2021-01-26;247
1ªDose;2021-01-27;141
1ªDose;2021-01-28;296
1ªDose;2021-01-29;392
1ªDose;2021-01-30;809
1ªDose;2021-02-01;118
1ªDose;2021-02-02;429
1ªDose;2021-02-03;534
1ªDose;2021-02-04;348
1ªDose;2021-02-05;500
1ªDose;2021-02-06;29
1ªDose;2021-02-08;56
1ªDose;2021-02-09;15
1ªDose;2021-02-10;218
1ªDose;2021-02-11;204
1ªDose;2021-02-12;2
1ªDose;2021-02-13;1001
1ªDose;2021-02-15;27
1ªDose;2021-02-16;100
1ªDose;2021-02-17;54
1ªDose;2021-02-18;547
1ªDose;2021-02-19;477
1ªDose;2021-02-20;6
1ªDose;2021-02-21;2
1ªDose;2021-02-22;82
1ªDose;2021-02-23;77
1ªDose;2021-02-24;88
1ªDose;2021-02-25;28
1ªDose;2021-02-26;121
1ªDose;2021-03-01;35
1ªDose;2021-03-02;84
1ªDose;2021-03-03;251
1ªDose;2021-03-04;10
1ªDose;2021-03-05;778
1ªDose;2021-03-07;1
1ªDose;2021-03-08;366
1ªDose;2021-03-09;473
1ªDose;2021-03-10;484
1ªDose;2021-03-11;612
1ªDose;2021-03-12;890
1ªDose;2021-03-13;40
1ªDose;2021-03-15;84
1ªDose;2021-03-16;96
1ªDose;2021-03-17;107
1ªDose;2021-03-18;126
1ªDose;2021-03-19;474
1ªDose;2021-03-20;587
1ªDose;2021-03-22;1288
1ªDose;2021-03-23;1792
1ªDose;2021-03-24;2301
1ªDose;2021-03-25;2588
1ªDose;2021-03-26;149
1ªDose;2021-03-27;41
1ªDose;2021-03-28;19
1ªDose;2021-03-29;402
1ªDose;2021-03-30;83
1ªDose;2021-03-31;420
1ªDose;2021-04-01;529
1ªDose;2021-04-02;1177
1ªDose;2021-04-03;963
1ªDose;2021-04-04;1294
1ªDose;2021-04-05;583
1ªDose;2021-04-06;174
1ªDose;2021-04-07;285
1ªDose;2021-04-08;459
1ªDose;2021-04-09;1788
1ªDose;2021-04-10;1764
1ªDose;2021-04-11;395
1ªDose;2021-04-12;642
1ªDose;2021-04-13;705
1ªDose;2021-04-14;133
1ªDose;2021-04-15;76
1ªDose;2021-04-16;127
1ªDose;2021-04-18;220
1ªDose;2021-04-19;568
1ªDose;2021-04-20;250
1ªDose;2021-04-21;480
1ªDose;2021-04-22;211
1ªDose;2021-04-23;138
1ªDose;2021-04-24;69
1ªDose;2021-04-26;242
1ªDose;2021-04-27;72
1ªDose;2021-04-28;181
1ªDose;2021-04-29;15
1ªDose;2021-04-30;1
2ªDose;2021-01-17;1
2ªDose;2021-01-22;2
2ªDose;2021-02-03;1
2ªDose;2021-02-05;1
2ªDose;2021-02-08;3
2ªDose;2021-02-10;3
2ªDose;2021-02-11;118
2ªDose;2021-02-12;30
2ªDose;2021-02-13;1
2ªDose;2021-02-15;64
2ªDose;2021-02-16;42
2ªDose;2021-02-17;660
2ªDose;2021-02-18;374
2ªDose;2021-02-19;393
2ªDose;2021-02-20;2
2ªDose;2021-02-22;432
2ªDose;2021-02-23;260
2ªDose;2021-02-24;127
2ªDose;2021-02-25;387
2ªDose;2021-02-26;371
2ªDose;2021-03-01;8
2ªDose;2021-03-02;19
2ªDose;2021-03-03;83
2ªDose;2021-03-04;224
2ªDose;2021-03-05;217
2ªDose;2021-03-06;14
2ªDose;2021-03-08;27
2ªDose;2021-03-09;26
2ªDose;2021-03-10;219
2ªDose;2021-03-11;114
2ªDose;2021-03-12;15
2ªDose;2021-03-13;775
2ªDose;2021-03-15;43
2ªDose;2021-03-16;175
2ªDose;2021-03-17;192
2ªDose;2021-03-18;516
2ªDose;2021-03-19;67
2ªDose;2021-03-20;21
2ªDose;2021-03-22;142
2ªDose;2021-03-23;87
2ªDose;2021-03-24;79
2ªDose;2021-03-25;51
2ªDose;2021-03-26;7
2ªDose;2021-03-29;95
2ªDose;2021-03-30;286
2ªDose;2021-03-31;70
2ªDose;2021-04-01;27
2ªDose;2021-04-02;172
2ªDose;2021-04-03;25
2ªDose;2021-04-04;18
2ªDose;2021-04-05;424
2ªDose;2021-04-06;198
2ªDose;2021-04-07;183
2ªDose;2021-04-08;359
2ªDose;2021-04-09;539
2ªDose;2021-04-10;104
2ªDose;2021-04-12;318
2ªDose;2021-04-13;174
2ªDose;2021-04-14;182
2ªDose;2021-04-15;49
2ªDose;2021-04-16;345
2ªDose;2021-04-18;119
2ªDose;2021-04-19;1473
2ªDose;2021-04-20;1040
2ªDose;2021-04-21;24
2ªDose;2021-04-22;132
2ªDose;2021-04-23;408
2ªDose;2021-04-24;600
2ªDose;2021-04-26;501
2ªDose;2021-04-27;218
2ªDose;2021-04-28;156
2ªDose;2021-04-29;64
2ªDose;2021-04-30;52
