index;count
2021-05-21;35
2021-05-22;35
2021-05-23;35
2021-05-24;88
2021-05-25;110
2021-05-26;110
2021-05-27;110
2021-05-28;110
2021-05-29;110
2021-05-30;110
2021-05-31;110
2021-06-01;110
2021-06-02;110
2021-06-03;110
2021-06-04;110
2021-06-05;110
2021-06-06;110
2021-06-07;110
2021-06-08;110
2021-06-09;110
2021-06-10;110
2021-06-11;110
2021-06-12;110
2021-06-13;110
2021-06-14;110
2021-06-15;110
2021-06-16;110
2021-06-17;110
2021-06-18;110
2021-06-19;110
2021-06-20;110
2021-06-21;110
2021-06-22;110
2021-06-23;110
2021-06-24;110
2021-06-25;110
2021-06-26;110
2021-06-27;110
2021-06-28;110
2021-06-29;110
2021-06-30;110
2021-07-01;110
2021-07-02;110
2021-07-03;110
2021-07-04;110
2021-07-05;110
2021-07-06;119
2021-07-07;128
2021-07-08;146
2021-07-09;146
2021-07-10;146
2021-07-11;146
2021-07-12;146
2021-07-13;199
2021-07-14;201
2021-07-15;201
2021-07-16;203
2021-07-17;203
2021-07-18;203
2021-07-19;208
2021-07-20;210
