index;count
2021-05-04;22
2021-05-05;29
2021-05-06;31
2021-05-07;34
2021-05-08;34
2021-05-09;34
2021-05-10;56
2021-05-11;61
2021-05-12;65
2021-05-13;144
2021-05-14;145
2021-05-15;145
2021-05-16;145
2021-05-17;145
2021-05-18;147
2021-05-19;147
2021-05-20;147
2021-05-21;147
2021-05-22;147
2021-05-23;149
2021-05-24;171
2021-05-25;202
2021-05-26;261
2021-05-27;262
2021-05-28;262
2021-05-29;262
2021-05-30;262
2021-05-31;262
2021-06-01;262
2021-06-02;262
2021-06-03;262
2021-06-04;262
2021-06-05;262
2021-06-06;262
2021-06-07;262
2021-06-08;262
2021-06-09;262
2021-06-10;262
2021-06-11;262
2021-06-12;262
2021-06-13;262
2021-06-14;262
2021-06-15;262
2021-06-16;262
2021-06-17;262
2021-06-18;262
2021-06-19;262
2021-06-20;262
2021-06-21;262
2021-06-22;262
2021-06-23;262
2021-06-24;262
2021-06-25;262
2021-06-26;262
2021-06-27;262
2021-06-28;262
2021-06-29;262
2021-06-30;262
2021-07-01;262
2021-07-02;262
2021-07-03;262
2021-07-04;262
2021-07-05;262
2021-07-06;312
2021-07-07;312
2021-07-08;312
2021-07-09;312
2021-07-10;312
2021-07-11;312
2021-07-12;312
2021-07-13;367
2021-07-14;367
2021-07-15;367
2021-07-16;367
2021-07-17;367
2021-07-18;367
2021-07-19;370
2021-07-20;372
2021-07-21;372
2021-07-22;373
