Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;1
1ªDose;2021-02-02;1
1ªDose;2021-02-03;8
1ªDose;2021-02-04;17
1ªDose;2021-02-05;24
1ªDose;2021-02-08;18
1ªDose;2021-02-09;28
1ªDose;2021-02-10;25
1ªDose;2021-02-11;7
1ªDose;2021-02-18;1
1ªDose;2021-02-19;16
1ªDose;2021-02-22;42
1ªDose;2021-02-23;4
1ªDose;2021-02-24;12
1ªDose;2021-02-25;15
1ªDose;2021-02-26;1
1ªDose;2021-03-01;3
1ªDose;2021-03-02;95
1ªDose;2021-03-03;37
1ªDose;2021-03-04;9
1ªDose;2021-03-05;1
1ªDose;2021-03-08;10
1ªDose;2021-03-09;6
1ªDose;2021-03-10;2
1ªDose;2021-03-11;3
1ªDose;2021-03-12;82
1ªDose;2021-03-15;12
1ªDose;2021-03-16;20
1ªDose;2021-03-17;9
1ªDose;2021-03-18;89
1ªDose;2021-03-19;7
1ªDose;2021-03-21;1
1ªDose;2021-03-22;27
1ªDose;2021-03-23;34
1ªDose;2021-03-24;255
1ªDose;2021-03-25;25
1ªDose;2021-03-26;32
1ªDose;2021-03-29;79
1ªDose;2021-03-30;39
1ªDose;2021-03-31;201
1ªDose;2021-04-01;9
1ªDose;2021-04-03;1
1ªDose;2021-04-05;4
1ªDose;2021-04-06;23
1ªDose;2021-04-07;199
1ªDose;2021-04-08;11
1ªDose;2021-04-09;14
1ªDose;2021-04-13;26
1ªDose;2021-04-14;188
1ªDose;2021-04-15;55
1ªDose;2021-04-16;6
1ªDose;2021-04-17;48
1ªDose;2021-04-19;5
1ªDose;2021-04-22;87
1ªDose;2021-04-23;1
1ªDose;2021-04-27;1
1ªDose;2021-04-28;111
1ªDose;2021-04-29;2
2ªDose;2021-02-17;4
2ªDose;2021-02-18;14
2ªDose;2021-02-19;6
2ªDose;2021-02-22;7
2ªDose;2021-02-23;4
2ªDose;2021-02-24;24
2ªDose;2021-02-25;10
2ªDose;2021-02-26;1
2ªDose;2021-03-01;12
2ªDose;2021-03-02;4
2ªDose;2021-03-03;5
2ªDose;2021-03-04;9
2ªDose;2021-03-05;8
2ªDose;2021-03-08;39
2ªDose;2021-03-09;16
2ªDose;2021-03-10;17
2ªDose;2021-03-11;5
2ªDose;2021-03-12;5
2ªDose;2021-03-16;4
2ªDose;2021-03-17;4
2ªDose;2021-03-18;6
2ªDose;2021-03-19;3
2ªDose;2021-03-22;48
2ªDose;2021-03-23;2
2ªDose;2021-03-24;16
2ªDose;2021-03-25;18
2ªDose;2021-03-26;10
2ªDose;2021-03-29;1
2ªDose;2021-03-30;2
2ªDose;2021-03-31;1
2ªDose;2021-04-05;9
2ªDose;2021-04-06;5
2ªDose;2021-04-07;4
2ªDose;2021-04-08;10
2ªDose;2021-04-09;54
2ªDose;2021-04-13;29
2ªDose;2021-04-14;57
2ªDose;2021-04-15;38
2ªDose;2021-04-16;12
2ªDose;2021-04-19;30
2ªDose;2021-04-20;19
2ªDose;2021-04-22;27
2ªDose;2021-04-23;9
2ªDose;2021-04-27;8
2ªDose;2021-04-28;67
