Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;83
1ªDose;2021-01-21;157
1ªDose;2021-01-22;163
1ªDose;2021-01-25;1
1ªDose;2021-01-26;55
1ªDose;2021-01-27;26
1ªDose;2021-01-28;329
1ªDose;2021-01-29;12
1ªDose;2021-01-30;267
1ªDose;2021-01-31;1
1ªDose;2021-02-01;301
1ªDose;2021-02-02;145
1ªDose;2021-02-03;108
1ªDose;2021-02-04;113
1ªDose;2021-02-05;94
1ªDose;2021-02-06;90
1ªDose;2021-02-08;54
1ªDose;2021-02-09;677
1ªDose;2021-02-10;194
1ªDose;2021-02-11;114
1ªDose;2021-02-12;112
1ªDose;2021-02-15;89
1ªDose;2021-02-16;56
1ªDose;2021-02-17;104
1ªDose;2021-02-18;180
1ªDose;2021-02-19;48
1ªDose;2021-02-20;1
1ªDose;2021-02-22;66
1ªDose;2021-02-23;60
1ªDose;2021-02-24;24
1ªDose;2021-02-25;16
1ªDose;2021-02-26;742
1ªDose;2021-03-01;130
1ªDose;2021-03-02;47
1ªDose;2021-03-03;49
1ªDose;2021-03-04;65
1ªDose;2021-03-05;28
1ªDose;2021-03-06;3
1ªDose;2021-03-08;44
1ªDose;2021-03-09;28
1ªDose;2021-03-10;40
1ªDose;2021-03-11;28
1ªDose;2021-03-12;1869
1ªDose;2021-03-15;63
1ªDose;2021-03-16;25
1ªDose;2021-03-17;8
1ªDose;2021-03-18;16
1ªDose;2021-03-19;1224
1ªDose;2021-03-22;155
1ªDose;2021-03-23;86
1ªDose;2021-03-24;2283
1ªDose;2021-03-25;275
1ªDose;2021-03-26;118
1ªDose;2021-03-27;2375
1ªDose;2021-03-29;13
1ªDose;2021-03-30;30
1ªDose;2021-03-31;20
1ªDose;2021-04-01;4
1ªDose;2021-04-03;882
1ªDose;2021-04-05;173
1ªDose;2021-04-06;122
1ªDose;2021-04-07;76
1ªDose;2021-04-08;86
1ªDose;2021-04-09;86
1ªDose;2021-04-10;1291
1ªDose;2021-04-12;99
1ªDose;2021-04-13;34
1ªDose;2021-04-14;30
1ªDose;2021-04-15;50
1ªDose;2021-04-16;14
1ªDose;2021-04-17;884
1ªDose;2021-04-19;138
1ªDose;2021-04-20;42
1ªDose;2021-04-22;35
1ªDose;2021-04-23;31
1ªDose;2021-04-24;242
1ªDose;2021-04-26;213
1ªDose;2021-04-27;75
1ªDose;2021-04-28;43
1ªDose;2021-04-29;43
1ªDose;2021-04-30;242
2ªDose;2021-01-20;1
2ªDose;2021-01-21;1
2ªDose;2021-01-25;9
2ªDose;2021-01-28;1
2ªDose;2021-02-09;2
2ªDose;2021-02-10;11
2ªDose;2021-02-15;1
2ªDose;2021-02-16;6
2ªDose;2021-02-17;134
2ªDose;2021-02-18;74
2ªDose;2021-02-19;266
2ªDose;2021-02-20;26
2ªDose;2021-02-22;289
2ªDose;2021-02-23;70
2ªDose;2021-02-24;55
2ªDose;2021-02-25;38
2ªDose;2021-02-26;12
2ªDose;2021-03-01;12
2ªDose;2021-03-02;105
2ªDose;2021-03-03;108
2ªDose;2021-03-04;96
2ªDose;2021-03-05;68
2ªDose;2021-03-06;36
2ªDose;2021-03-08;86
2ªDose;2021-03-09;530
2ªDose;2021-03-10;191
2ªDose;2021-03-11;124
2ªDose;2021-03-12;56
2ªDose;2021-03-15;123
2ªDose;2021-03-16;38
2ªDose;2021-03-17;93
2ªDose;2021-03-18;74
2ªDose;2021-03-19;51
2ªDose;2021-03-20;23
2ªDose;2021-03-22;57
2ªDose;2021-03-23;40
2ªDose;2021-03-24;21
2ªDose;2021-03-25;21
2ªDose;2021-03-26;17
2ªDose;2021-03-27;1
2ªDose;2021-03-29;9
2ªDose;2021-03-30;3
2ªDose;2021-03-31;1
2ªDose;2021-04-01;1
2ªDose;2021-04-03;7
2ªDose;2021-04-05;16
2ªDose;2021-04-06;7
2ªDose;2021-04-07;7
2ªDose;2021-04-08;83
2ªDose;2021-04-09;1630
2ªDose;2021-04-10;55
2ªDose;2021-04-12;97
2ªDose;2021-04-13;20
2ªDose;2021-04-14;23
2ªDose;2021-04-15;85
2ªDose;2021-04-16;1013
2ªDose;2021-04-17;7
2ªDose;2021-04-19;256
2ªDose;2021-04-20;771
2ªDose;2021-04-21;1
2ªDose;2021-04-22;610
2ªDose;2021-04-23;380
2ªDose;2021-04-24;420
2ªDose;2021-04-26;212
2ªDose;2021-04-27;61
2ªDose;2021-04-28;28
2ªDose;2021-04-29;13
2ªDose;2021-04-30;7
