Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;46
1ªDose;2021-01-22;55
1ªDose;2021-01-25;266
1ªDose;2021-01-26;228
1ªDose;2021-01-27;83
1ªDose;2021-01-28;103
1ªDose;2021-01-29;193
1ªDose;2021-02-01;296
1ªDose;2021-02-02;250
1ªDose;2021-02-03;97
1ªDose;2021-02-04;57
1ªDose;2021-02-05;685
1ªDose;2021-02-07;1
1ªDose;2021-02-08;352
1ªDose;2021-02-09;172
1ªDose;2021-02-10;141
1ªDose;2021-02-11;86
1ªDose;2021-02-12;220
1ªDose;2021-02-13;56
1ªDose;2021-02-14;2
1ªDose;2021-02-15;93
1ªDose;2021-02-16;74
1ªDose;2021-02-17;24
1ªDose;2021-02-18;37
1ªDose;2021-02-19;14
1ªDose;2021-02-22;26
1ªDose;2021-02-23;14
1ªDose;2021-02-24;10
1ªDose;2021-02-25;7
1ªDose;2021-02-26;7
1ªDose;2021-02-27;265
1ªDose;2021-03-01;224
1ªDose;2021-03-02;138
1ªDose;2021-03-03;279
1ªDose;2021-03-04;60
1ªDose;2021-03-05;34
1ªDose;2021-03-06;96
1ªDose;2021-03-08;119
1ªDose;2021-03-09;77
1ªDose;2021-03-10;48
1ªDose;2021-03-11;38
1ªDose;2021-03-12;17
1ªDose;2021-03-13;130
1ªDose;2021-03-15;165
1ªDose;2021-03-16;122
1ªDose;2021-03-17;64
1ªDose;2021-03-18;39
1ªDose;2021-03-19;639
1ªDose;2021-03-22;182
1ªDose;2021-03-23;98
1ªDose;2021-03-24;77
1ªDose;2021-03-25;32
1ªDose;2021-03-26;653
1ªDose;2021-03-29;196
1ªDose;2021-03-30;128
1ªDose;2021-03-31;64
1ªDose;2021-04-01;153
1ªDose;2021-04-05;231
1ªDose;2021-04-06;129
1ªDose;2021-04-07;42
1ªDose;2021-04-08;37
1ªDose;2021-04-09;39
1ªDose;2021-04-10;283
1ªDose;2021-04-12;200
1ªDose;2021-04-13;98
1ªDose;2021-04-14;83
1ªDose;2021-04-15;59
1ªDose;2021-04-16;69
1ªDose;2021-04-19;56
1ªDose;2021-04-20;30
1ªDose;2021-04-21;198
1ªDose;2021-04-22;147
1ªDose;2021-04-23;153
1ªDose;2021-04-24;23
1ªDose;2021-04-26;29
1ªDose;2021-04-27;9
1ªDose;2021-04-28;3
1ªDose;2021-04-29;1
1ªDose;2021-04-30;22
2ªDose;2021-02-11;31
2ªDose;2021-02-12;15
2ªDose;2021-02-15;260
2ªDose;2021-02-16;240
2ªDose;2021-02-17;112
2ªDose;2021-02-18;17
2ªDose;2021-02-19;1
2ªDose;2021-02-20;1
2ªDose;2021-02-22;64
2ªDose;2021-02-23;25
2ªDose;2021-02-24;5
2ªDose;2021-02-25;10
2ªDose;2021-02-26;17
2ªDose;2021-03-01;28
2ªDose;2021-03-02;535
2ªDose;2021-03-03;363
2ªDose;2021-03-04;160
2ªDose;2021-03-05;206
2ªDose;2021-03-06;2
2ªDose;2021-03-08;185
2ªDose;2021-03-09;88
2ªDose;2021-03-10;37
2ªDose;2021-03-11;39
2ªDose;2021-03-12;31
2ªDose;2021-03-15;8
2ªDose;2021-03-16;36
2ªDose;2021-03-17;15
2ªDose;2021-03-18;5
2ªDose;2021-03-19;15
2ªDose;2021-03-22;23
2ªDose;2021-03-23;7
2ªDose;2021-03-24;14
2ªDose;2021-03-25;10
2ªDose;2021-03-26;4
2ªDose;2021-03-29;21
2ªDose;2021-03-30;39
2ªDose;2021-03-31;197
2ªDose;2021-04-01;60
2ªDose;2021-04-05;141
2ªDose;2021-04-06;89
2ªDose;2021-04-07;49
2ªDose;2021-04-08;41
2ªDose;2021-04-09;101
2ªDose;2021-04-10;53
2ªDose;2021-04-12;127
2ªDose;2021-04-13;54
2ªDose;2021-04-14;116
2ªDose;2021-04-15;74
2ªDose;2021-04-16;602
2ªDose;2021-04-19;144
2ªDose;2021-04-20;100
2ªDose;2021-04-21;1
2ªDose;2021-04-22;50
2ªDose;2021-04-23;404
2ªDose;2021-04-24;22
2ªDose;2021-04-26;84
2ªDose;2021-04-27;79
2ªDose;2021-04-28;23
2ªDose;2021-04-29;3
2ªDose;2021-04-30;16
