Dose Aplicada;Data;Quantidade
1ªDose;2021-01-18;1
1ªDose;2021-01-20;1
1ªDose;2021-01-21;517
1ªDose;2021-01-22;636
1ªDose;2021-01-23;2
1ªDose;2021-01-25;334
1ªDose;2021-01-26;276
1ªDose;2021-01-27;266
1ªDose;2021-01-28;342
1ªDose;2021-01-29;150
1ªDose;2021-02-01;22
1ªDose;2021-02-02;12
1ªDose;2021-02-03;21
1ªDose;2021-02-04;47
1ªDose;2021-02-05;15
1ªDose;2021-02-06;1
1ªDose;2021-02-08;200
1ªDose;2021-02-09;264
1ªDose;2021-02-10;160
1ªDose;2021-02-11;486
1ªDose;2021-02-12;505
1ªDose;2021-02-14;1
1ªDose;2021-02-15;302
1ªDose;2021-02-16;275
1ªDose;2021-02-17;240
1ªDose;2021-02-18;338
1ªDose;2021-02-19;307
1ªDose;2021-02-20;1
1ªDose;2021-02-22;516
1ªDose;2021-02-23;1191
1ªDose;2021-02-24;729
1ªDose;2021-02-25;251
1ªDose;2021-02-26;118
1ªDose;2021-02-27;33
1ªDose;2021-02-28;3
1ªDose;2021-03-01;228
1ªDose;2021-03-02;98
1ªDose;2021-03-03;357
1ªDose;2021-03-04;113
1ªDose;2021-03-05;67
1ªDose;2021-03-06;9
1ªDose;2021-03-07;3
1ªDose;2021-03-08;494
1ªDose;2021-03-09;424
1ªDose;2021-03-10;299
1ªDose;2021-03-11;237
1ªDose;2021-03-12;361
1ªDose;2021-03-13;2
1ªDose;2021-03-14;1
1ªDose;2021-03-15;1215
1ªDose;2021-03-16;603
1ªDose;2021-03-17;488
1ªDose;2021-03-18;342
1ªDose;2021-03-19;779
1ªDose;2021-03-20;1521
1ªDose;2021-03-21;4
1ªDose;2021-03-22;932
1ªDose;2021-03-23;369
1ªDose;2021-03-24;379
1ªDose;2021-03-25;1254
1ªDose;2021-03-26;738
1ªDose;2021-03-27;11
1ªDose;2021-03-28;1
1ªDose;2021-03-29;571
1ªDose;2021-03-30;1185
1ªDose;2021-03-31;690
1ªDose;2021-04-01;5
1ªDose;2021-04-03;1
1ªDose;2021-04-05;486
1ªDose;2021-04-06;319
1ªDose;2021-04-07;184
1ªDose;2021-04-08;351
1ªDose;2021-04-09;170
1ªDose;2021-04-10;1
1ªDose;2021-04-12;814
1ªDose;2021-04-13;327
1ªDose;2021-04-14;30
1ªDose;2021-04-15;16
1ªDose;2021-04-16;16
1ªDose;2021-04-19;13
1ªDose;2021-04-20;13
1ªDose;2021-04-21;3
1ªDose;2021-04-22;1
1ªDose;2021-04-23;7
1ªDose;2021-04-26;1
1ªDose;2021-04-27;1
2ªDose;2021-01-21;1
2ªDose;2021-01-25;2
2ªDose;2021-01-26;1
2ªDose;2021-01-27;1
2ªDose;2021-02-01;2
2ªDose;2021-02-08;1
2ªDose;2021-02-09;2
2ªDose;2021-02-10;3
2ªDose;2021-02-11;104
2ªDose;2021-02-12;168
2ªDose;2021-02-15;172
2ªDose;2021-02-16;430
2ªDose;2021-02-17;624
2ªDose;2021-02-18;511
2ªDose;2021-02-19;162
2ªDose;2021-02-20;12
2ªDose;2021-02-22;104
2ªDose;2021-02-23;37
2ªDose;2021-02-24;78
2ªDose;2021-02-25;35
2ªDose;2021-02-26;72
2ªDose;2021-02-28;7
2ªDose;2021-03-01;236
2ªDose;2021-03-02;239
2ªDose;2021-03-03;176
2ªDose;2021-03-04;121
2ªDose;2021-03-05;31
2ªDose;2021-03-06;1
2ªDose;2021-03-08;24
2ªDose;2021-03-09;423
2ªDose;2021-03-10;67
2ªDose;2021-03-11;36
2ªDose;2021-03-12;204
2ªDose;2021-03-13;1
2ªDose;2021-03-14;3
2ªDose;2021-03-15;46
2ªDose;2021-03-16;77
2ªDose;2021-03-17;271
2ªDose;2021-03-18;171
2ªDose;2021-03-19;249
2ªDose;2021-03-20;45
2ªDose;2021-03-22;137
2ªDose;2021-03-23;601
2ªDose;2021-03-24;531
2ªDose;2021-03-25;265
2ªDose;2021-03-26;177
2ªDose;2021-03-27;8
2ªDose;2021-03-28;1
2ªDose;2021-03-29;91
2ªDose;2021-03-30;44
2ªDose;2021-03-31;463
2ªDose;2021-04-01;5
2ªDose;2021-04-02;1
2ªDose;2021-04-03;1
2ªDose;2021-04-04;3
2ªDose;2021-04-05;542
2ªDose;2021-04-06;326
2ªDose;2021-04-07;224
2ªDose;2021-04-08;282
2ªDose;2021-04-09;787
2ªDose;2021-04-12;466
2ªDose;2021-04-13;122
2ªDose;2021-04-14;227
2ªDose;2021-04-15;222
2ªDose;2021-04-16;1015
2ªDose;2021-04-17;1
2ªDose;2021-04-18;3
2ªDose;2021-04-19;574
2ªDose;2021-04-20;656
2ªDose;2021-04-21;58
2ªDose;2021-04-22;174
2ªDose;2021-04-23;204
2ªDose;2021-04-24;1
2ªDose;2021-04-26;54
2ªDose;2021-04-27;20
2ªDose;2021-04-28;12
2ªDose;2021-04-29;5
2ªDose;2021-04-30;1
