Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;82
1ªDose;2021-01-22;105
1ªDose;2021-01-23;46
1ªDose;2021-01-25;69
1ªDose;2021-01-26;211
1ªDose;2021-01-27;176
1ªDose;2021-01-28;13
1ªDose;2021-01-29;72
1ªDose;2021-01-31;1
1ªDose;2021-02-08;73
1ªDose;2021-02-09;56
1ªDose;2021-02-10;75
1ªDose;2021-02-11;57
1ªDose;2021-02-12;243
1ªDose;2021-02-13;99
1ªDose;2021-02-15;55
1ªDose;2021-02-16;37
1ªDose;2021-02-17;26
1ªDose;2021-02-18;8
1ªDose;2021-02-19;96
1ªDose;2021-02-20;52
1ªDose;2021-02-22;22
1ªDose;2021-02-23;145
1ªDose;2021-02-24;82
1ªDose;2021-02-25;1
1ªDose;2021-03-02;14
1ªDose;2021-03-03;6
1ªDose;2021-03-04;39
1ªDose;2021-03-05;138
1ªDose;2021-03-06;73
1ªDose;2021-03-07;1
1ªDose;2021-03-08;86
1ªDose;2021-03-09;6
1ªDose;2021-03-10;33
1ªDose;2021-03-11;11
1ªDose;2021-03-12;222
1ªDose;2021-03-13;52
1ªDose;2021-03-14;1
1ªDose;2021-03-15;26
1ªDose;2021-03-16;209
1ªDose;2021-03-17;84
1ªDose;2021-03-18;28
1ªDose;2021-03-19;498
1ªDose;2021-03-20;69
1ªDose;2021-03-21;3
1ªDose;2021-03-22;77
1ªDose;2021-03-23;308
1ªDose;2021-03-24;130
1ªDose;2021-03-25;381
1ªDose;2021-03-26;547
1ªDose;2021-03-27;113
1ªDose;2021-03-28;11
1ªDose;2021-03-29;61
1ªDose;2021-03-30;43
1ªDose;2021-03-31;420
1ªDose;2021-04-01;71
1ªDose;2021-04-02;20
1ªDose;2021-04-03;33
1ªDose;2021-04-04;2
1ªDose;2021-04-05;33
1ªDose;2021-04-06;358
1ªDose;2021-04-07;125
1ªDose;2021-04-08;33
1ªDose;2021-04-09;42
1ªDose;2021-04-10;118
1ªDose;2021-04-12;147
1ªDose;2021-04-13;84
1ªDose;2021-04-14;57
1ªDose;2021-04-15;25
1ªDose;2021-04-16;16
1ªDose;2021-04-17;33
1ªDose;2021-04-18;3
1ªDose;2021-04-19;8
1ªDose;2021-04-21;1
1ªDose;2021-04-22;2
1ªDose;2021-04-23;23
2ªDose;2021-02-11;32
2ªDose;2021-02-12;21
2ªDose;2021-02-13;1
2ªDose;2021-02-15;108
2ªDose;2021-02-16;110
2ªDose;2021-02-17;82
2ªDose;2021-02-18;168
2ªDose;2021-02-19;64
2ªDose;2021-02-20;1
2ªDose;2021-02-22;10
2ªDose;2021-02-23;12
2ªDose;2021-02-24;1
2ªDose;2021-02-25;1
2ªDose;2021-02-26;3
2ªDose;2021-03-01;29
2ªDose;2021-03-02;71
2ªDose;2021-03-03;82
2ªDose;2021-03-04;63
2ªDose;2021-03-05;226
2ªDose;2021-03-06;98
2ªDose;2021-03-08;61
2ªDose;2021-03-09;12
2ªDose;2021-03-10;9
2ªDose;2021-03-11;10
2ªDose;2021-03-12;104
2ªDose;2021-03-13;24
2ªDose;2021-03-15;58
2ªDose;2021-03-16;151
2ªDose;2021-03-17;40
2ªDose;2021-03-18;9
2ªDose;2021-03-19;1
2ªDose;2021-03-20;1
2ªDose;2021-03-22;1
2ªDose;2021-03-23;2
2ªDose;2021-03-24;8
2ªDose;2021-03-25;58
2ªDose;2021-03-26;151
2ªDose;2021-03-27;13
2ªDose;2021-03-29;103
2ªDose;2021-03-30;51
2ªDose;2021-03-31;53
2ªDose;2021-04-01;59
2ªDose;2021-04-02;159
2ªDose;2021-04-03;18
2ªDose;2021-04-05;85
2ªDose;2021-04-06;223
2ªDose;2021-04-07;97
2ªDose;2021-04-08;28
2ªDose;2021-04-09;533
2ªDose;2021-04-10;111
2ªDose;2021-04-12;80
2ªDose;2021-04-13;292
2ªDose;2021-04-14;137
2ªDose;2021-04-15;382
2ªDose;2021-04-16;453
2ªDose;2021-04-17;91
2ªDose;2021-04-18;3
2ªDose;2021-04-19;64
2ªDose;2021-04-20;17
2ªDose;2021-04-21;40
2ªDose;2021-04-22;15
2ªDose;2021-04-24;1
2ªDose;2021-04-25;1
2ªDose;2021-04-26;1
2ªDose;2021-04-28;1
2ªDose;2021-04-30;1
