index;count
2021-05-06;7
2021-05-07;24
2021-05-08;24
2021-05-09;24
2021-05-10;24
2021-05-11;24
2021-05-12;24
2021-05-13;24
2021-05-14;24
2021-05-15;24
2021-05-16;24
2021-05-17;24
2021-05-18;25
2021-05-19;26
2021-05-20;26
2021-05-21;26
2021-05-22;26
2021-05-23;26
2021-05-24;27
2021-05-25;30
2021-05-26;42
2021-05-27;42
2021-05-28;54
2021-05-29;54
2021-05-30;54
2021-05-31;54
2021-06-01;54
2021-06-02;54
2021-06-03;54
2021-06-04;54
2021-06-05;54
2021-06-06;54
2021-06-07;54
2021-06-08;54
2021-06-09;55
2021-06-10;55
2021-06-11;55
2021-06-12;55
2021-06-13;55
2021-06-14;55
2021-06-15;55
2021-06-16;55
2021-06-17;55
2021-06-18;55
2021-06-19;55
2021-06-20;55
2021-06-21;55
2021-06-22;55
2021-06-23;55
2021-06-24;55
2021-06-25;55
2021-06-26;55
2021-06-27;55
2021-06-28;55
2021-06-29;55
2021-06-30;55
2021-07-01;55
2021-07-02;55
2021-07-03;55
2021-07-04;55
2021-07-05;55
2021-07-06;112
2021-07-07;112
2021-07-08;112
2021-07-09;117
2021-07-10;117
2021-07-11;117
2021-07-12;117
2021-07-13;139
2021-07-14;139
2021-07-15;139
2021-07-16;139
2021-07-17;139
2021-07-18;139
2021-07-19;139
2021-07-20;139
2021-07-21;139
2021-07-22;139
2021-07-23;140
