index;count
2021-05-04;6
2021-05-05;6
2021-05-06;6
2021-05-07;6
2021-05-08;6
2021-05-09;6
2021-05-10;6
2021-05-11;7
2021-05-12;7
2021-05-13;7
2021-05-14;7
2021-05-15;7
2021-05-16;7
2021-05-17;7
2021-05-18;7
2021-05-19;7
2021-05-20;7
2021-05-21;23
2021-05-22;23
2021-05-23;23
2021-05-24;23
2021-05-25;48
2021-05-26;130
2021-05-27;180
2021-05-28;180
2021-05-29;180
2021-05-30;180
2021-05-31;180
2021-06-01;181
2021-06-02;181
2021-06-03;182
2021-06-04;182
2021-06-05;182
2021-06-06;182
2021-06-07;182
2021-06-08;182
2021-06-09;182
2021-06-10;182
2021-06-11;182
2021-06-12;182
2021-06-13;182
2021-06-14;182
2021-06-15;182
2021-06-16;182
2021-06-17;182
2021-06-18;182
2021-06-19;182
2021-06-20;182
2021-06-21;182
2021-06-22;182
2021-06-23;182
2021-06-24;182
2021-06-25;182
2021-06-26;182
2021-06-27;182
2021-06-28;182
2021-06-29;182
2021-06-30;182
2021-07-01;182
2021-07-02;182
2021-07-03;182
2021-07-04;182
2021-07-05;182
2021-07-06;182
2021-07-07;212
2021-07-08;212
2021-07-09;212
2021-07-10;212
2021-07-11;212
2021-07-12;212
2021-07-13;212
2021-07-14;212
2021-07-15;212
2021-07-16;212
2021-07-17;212
2021-07-18;212
2021-07-19;212
2021-07-20;231
2021-07-21;248
