index;count
2021-05-24;17
2021-05-25;28
2021-05-26;57
2021-05-27;57
2021-05-28;57
2021-05-29;57
2021-05-30;57
2021-05-31;57
2021-06-01;57
2021-06-02;57
2021-06-03;57
2021-06-04;57
2021-06-05;57
2021-06-06;57
2021-06-07;57
2021-06-08;57
2021-06-09;57
2021-06-10;57
2021-06-11;57
2021-06-12;57
2021-06-13;57
2021-06-14;57
2021-06-15;57
2021-06-16;57
2021-06-17;114
2021-06-18;118
2021-06-19;118
2021-06-20;118
2021-06-21;118
2021-06-22;199
2021-06-23;199
2021-06-24;199
2021-06-25;199
2021-06-26;199
2021-06-27;199
2021-06-28;199
2021-06-29;199
2021-06-30;199
2021-07-01;199
2021-07-02;199
2021-07-03;199
2021-07-04;199
2021-07-05;219
2021-07-06;241
2021-07-07;253
2021-07-08;253
2021-07-09;253
2021-07-10;253
2021-07-11;253
2021-07-12;253
2021-07-13;295
2021-07-14;295
2021-07-15;295
2021-07-16;295
2021-07-17;295
2021-07-18;295
2021-07-19;295
2021-07-20;320
2021-07-21;334
2021-07-22;337
