index;count
2021-05-04;6
2021-05-05;6
2021-05-06;6
2021-05-07;6
2021-05-08;6
2021-05-09;6
2021-05-10;6
2021-05-11;6
2021-05-12;6
2021-05-13;6
2021-05-14;6
2021-05-15;6
2021-05-16;6
2021-05-17;6
2021-05-18;6
2021-05-19;6
2021-05-20;6
2021-05-21;6
2021-05-22;6
2021-05-23;6
2021-05-24;6
2021-05-25;6
2021-05-26;6
2021-05-27;12
2021-05-28;19
2021-05-29;19
2021-05-30;19
2021-05-31;30
2021-06-01;30
2021-06-02;40
2021-06-03;46
2021-06-04;46
2021-06-05;46
2021-06-06;46
2021-06-07;46
2021-06-08;46
2021-06-09;46
2021-06-10;46
2021-06-11;46
2021-06-12;46
2021-06-13;46
2021-06-14;111
2021-06-15;129
2021-06-16;129
2021-06-17;129
2021-06-18;129
2021-06-19;140
2021-06-20;151
2021-06-21;163
2021-06-22;186
2021-06-23;186
2021-06-24;186
2021-06-25;186
2021-06-26;186
2021-06-27;186
2021-06-28;186
2021-06-29;186
2021-06-30;186
2021-07-01;186
2021-07-02;186
2021-07-03;186
2021-07-04;186
2021-07-05;208
2021-07-06;217
2021-07-07;225
2021-07-08;228
2021-07-09;228
2021-07-10;228
2021-07-11;228
2021-07-12;257
2021-07-13;273
2021-07-14;273
2021-07-15;290
2021-07-16;290
2021-07-17;290
2021-07-18;290
2021-07-19;321
2021-07-20;340
2021-07-21;357
2021-07-22;370
