Dose Aplicada;Data;Quantidade
1ªDose;2021-01-29;16
1ªDose;2021-02-01;7
1ªDose;2021-02-03;18
1ªDose;2021-02-04;17
1ªDose;2021-02-05;8
1ªDose;2021-02-08;13
1ªDose;2021-02-09;24
1ªDose;2021-02-10;6
1ªDose;2021-02-11;17
1ªDose;2021-02-12;6
1ªDose;2021-02-20;1
1ªDose;2021-02-24;1
1ªDose;2021-02-26;31
1ªDose;2021-03-01;41
1ªDose;2021-03-02;28
1ªDose;2021-03-03;48
1ªDose;2021-03-04;42
1ªDose;2021-03-08;30
1ªDose;2021-03-10;46
1ªDose;2021-03-11;10
1ªDose;2021-03-12;54
1ªDose;2021-03-13;1
1ªDose;2021-03-15;3
1ªDose;2021-03-16;7
1ªDose;2021-03-17;3
1ªDose;2021-03-18;142
1ªDose;2021-03-19;1
1ªDose;2021-03-20;1
1ªDose;2021-03-22;25
1ªDose;2021-03-23;125
1ªDose;2021-03-24;251
1ªDose;2021-03-25;187
1ªDose;2021-03-26;9
1ªDose;2021-03-29;28
1ªDose;2021-03-30;321
1ªDose;2021-03-31;5
1ªDose;2021-04-01;1
1ªDose;2021-04-04;1
1ªDose;2021-04-05;90
1ªDose;2021-04-06;12
1ªDose;2021-04-07;1
1ªDose;2021-04-08;4
1ªDose;2021-04-09;1
1ªDose;2021-04-12;52
1ªDose;2021-04-13;72
1ªDose;2021-04-14;22
1ªDose;2021-04-15;21
1ªDose;2021-04-16;4
1ªDose;2021-04-17;1
1ªDose;2021-04-19;156
1ªDose;2021-04-20;39
1ªDose;2021-04-21;1
1ªDose;2021-04-22;79
1ªDose;2021-04-23;130
1ªDose;2021-04-26;69
1ªDose;2021-04-27;62
1ªDose;2021-04-28;114
1ªDose;2021-04-29;84
1ªDose;2021-04-30;2
2ªDose;2021-02-04;1
2ªDose;2021-02-09;13
2ªDose;2021-02-10;32
2ªDose;2021-02-11;20
2ªDose;2021-02-12;8
2ªDose;2021-02-13;1
2ªDose;2021-02-18;17
2ªDose;2021-02-19;21
2ªDose;2021-02-22;6
2ªDose;2021-02-23;5
2ªDose;2021-02-24;6
2ªDose;2021-02-25;3
2ªDose;2021-02-26;2
2ªDose;2021-03-01;12
2ªDose;2021-03-02;10
2ªDose;2021-03-03;17
2ªDose;2021-03-04;9
2ªDose;2021-03-05;1
2ªDose;2021-03-08;5
2ªDose;2021-03-11;1
2ªDose;2021-03-15;1
2ªDose;2021-03-16;2
2ªDose;2021-03-17;1
2ªDose;2021-03-18;2
2ªDose;2021-03-20;4
2ªDose;2021-03-22;1
2ªDose;2021-03-23;4
2ªDose;2021-03-24;4
2ªDose;2021-03-25;1
2ªDose;2021-03-29;30
2ªDose;2021-03-30;12
2ªDose;2021-03-31;5
2ªDose;2021-04-01;19
2ªDose;2021-04-04;1
2ªDose;2021-04-05;46
2ªDose;2021-04-06;8
2ªDose;2021-04-07;6
2ªDose;2021-04-08;105
2ªDose;2021-04-09;5
2ªDose;2021-04-12;66
2ªDose;2021-04-13;234
2ªDose;2021-04-14;209
2ªDose;2021-04-15;63
2ªDose;2021-04-16;26
2ªDose;2021-04-19;160
2ªDose;2021-04-20;137
2ªDose;2021-04-21;1
2ªDose;2021-04-22;28
2ªDose;2021-04-23;2
2ªDose;2021-04-26;33
2ªDose;2021-04-27;20
2ªDose;2021-04-28;32
2ªDose;2021-04-29;49
2ªDose;2021-04-30;3
