Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-20;46
1ªDose;2021-01-21;73
1ªDose;2021-01-22;20
1ªDose;2021-01-25;23
1ªDose;2021-01-26;3
1ªDose;2021-01-29;14
1ªDose;2021-02-01;18
1ªDose;2021-02-02;14
1ªDose;2021-02-03;39
1ªDose;2021-02-04;21
1ªDose;2021-02-05;14
1ªDose;2021-02-08;34
1ªDose;2021-02-09;31
1ªDose;2021-02-10;61
1ªDose;2021-02-11;46
1ªDose;2021-02-12;14
1ªDose;2021-02-15;23
1ªDose;2021-02-16;7
1ªDose;2021-02-17;3
1ªDose;2021-02-18;15
1ªDose;2021-02-19;10
1ªDose;2021-02-22;4
1ªDose;2021-02-23;2
1ªDose;2021-02-24;5
1ªDose;2021-02-25;4
1ªDose;2021-02-26;7
1ªDose;2021-03-01;3
1ªDose;2021-03-02;11
1ªDose;2021-03-04;6
1ªDose;2021-03-05;24
1ªDose;2021-03-08;20
1ªDose;2021-03-09;39
1ªDose;2021-03-10;23
1ªDose;2021-03-11;41
1ªDose;2021-03-12;57
1ªDose;2021-03-16;303
1ªDose;2021-03-17;119
1ªDose;2021-03-18;70
1ªDose;2021-03-19;44
1ªDose;2021-03-22;46
1ªDose;2021-03-23;71
1ªDose;2021-03-24;94
1ªDose;2021-03-25;131
1ªDose;2021-03-26;228
1ªDose;2021-03-29;169
1ªDose;2021-03-30;216
1ªDose;2021-03-31;208
1ªDose;2021-04-01;373
1ªDose;2021-04-03;127
1ªDose;2021-04-04;1
1ªDose;2021-04-05;414
1ªDose;2021-04-06;335
1ªDose;2021-04-07;247
1ªDose;2021-04-08;30
1ªDose;2021-04-09;15
1ªDose;2021-04-13;9
1ªDose;2021-04-14;11
1ªDose;2021-04-15;3
1ªDose;2021-04-16;6
1ªDose;2021-04-19;22
1ªDose;2021-04-20;12
1ªDose;2021-04-22;12
1ªDose;2021-04-23;2
1ªDose;2021-04-24;10
1ªDose;2021-04-26;9
1ªDose;2021-04-27;1
2ªDose;2021-01-22;1
2ªDose;2021-02-04;1
2ªDose;2021-02-08;43
2ªDose;2021-02-09;16
2ªDose;2021-02-10;112
2ªDose;2021-02-11;24
2ªDose;2021-02-12;11
2ªDose;2021-02-15;8
2ªDose;2021-02-16;7
2ªDose;2021-02-17;9
2ªDose;2021-02-18;31
2ªDose;2021-02-19;10
2ªDose;2021-02-22;8
2ªDose;2021-02-23;10
2ªDose;2021-02-24;68
2ªDose;2021-02-25;10
2ªDose;2021-02-26;1
2ªDose;2021-03-01;9
2ªDose;2021-03-02;64
2ªDose;2021-03-03;20
2ªDose;2021-03-04;15
2ªDose;2021-03-05;48
2ªDose;2021-03-08;23
2ªDose;2021-03-09;14
2ªDose;2021-03-10;16
2ªDose;2021-03-11;5
2ªDose;2021-03-12;5
2ªDose;2021-03-16;7
2ªDose;2021-03-17;5
2ªDose;2021-03-18;6
2ªDose;2021-03-19;12
2ªDose;2021-03-22;4
2ªDose;2021-03-23;17
2ªDose;2021-03-24;7
2ªDose;2021-03-25;2
2ªDose;2021-03-26;6
2ªDose;2021-03-27;4
2ªDose;2021-03-29;16
2ªDose;2021-03-30;32
2ªDose;2021-03-31;32
2ªDose;2021-04-01;12
2ªDose;2021-04-03;21
2ªDose;2021-04-05;14
2ªDose;2021-04-06;242
2ªDose;2021-04-07;122
2ªDose;2021-04-08;63
2ªDose;2021-04-09;42
2ªDose;2021-04-12;40
2ªDose;2021-04-13;49
2ªDose;2021-04-14;71
2ªDose;2021-04-15;73
2ªDose;2021-04-16;132
2ªDose;2021-04-19;144
2ªDose;2021-04-20;161
2ªDose;2021-04-22;434
2ªDose;2021-04-23;60
2ªDose;2021-04-24;117
2ªDose;2021-04-26;406
2ªDose;2021-04-27;272
2ªDose;2021-04-28;1
