Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;3
1ªDose;2021-01-19;27
1ªDose;2021-01-20;206
1ªDose;2021-01-21;25
1ªDose;2021-01-22;59
1ªDose;2021-01-23;46
1ªDose;2021-01-25;172
1ªDose;2021-01-26;138
1ªDose;2021-01-27;620
1ªDose;2021-01-28;750
1ªDose;2021-01-29;748
1ªDose;2021-01-30;1
1ªDose;2021-02-01;335
1ªDose;2021-02-02;87
1ªDose;2021-02-03;21
1ªDose;2021-02-04;27
1ªDose;2021-02-05;69
1ªDose;2021-02-06;1
1ªDose;2021-02-08;76
1ªDose;2021-02-09;133
1ªDose;2021-02-10;297
1ªDose;2021-02-11;488
1ªDose;2021-02-12;120
1ªDose;2021-02-13;4
1ªDose;2021-02-15;189
1ªDose;2021-02-16;116
1ªDose;2021-02-17;658
1ªDose;2021-02-18;692
1ªDose;2021-02-19;429
1ªDose;2021-02-20;3
1ªDose;2021-02-22;100
1ªDose;2021-02-23;480
1ªDose;2021-02-24;230
1ªDose;2021-02-25;23
1ªDose;2021-02-26;26
1ªDose;2021-02-27;3
1ªDose;2021-02-28;1
1ªDose;2021-03-01;64
1ªDose;2021-03-02;57
1ªDose;2021-03-03;57
1ªDose;2021-03-04;63
1ªDose;2021-03-05;119
1ªDose;2021-03-06;149
1ªDose;2021-03-07;113
1ªDose;2021-03-08;551
1ªDose;2021-03-09;692
1ªDose;2021-03-10;1011
1ªDose;2021-03-11;297
1ªDose;2021-03-12;205
1ªDose;2021-03-13;9
1ªDose;2021-03-14;2
1ªDose;2021-03-15;1441
1ªDose;2021-03-16;1180
1ªDose;2021-03-17;837
1ªDose;2021-03-18;1080
1ªDose;2021-03-19;1095
1ªDose;2021-03-20;4
1ªDose;2021-03-21;6
1ªDose;2021-03-22;1238
1ªDose;2021-03-23;1154
1ªDose;2021-03-24;1050
1ªDose;2021-03-25;1055
1ªDose;2021-03-26;964
1ªDose;2021-03-27;2
1ªDose;2021-03-28;1
1ªDose;2021-03-29;1856
1ªDose;2021-03-30;1795
1ªDose;2021-03-31;1850
1ªDose;2021-04-01;2172
1ªDose;2021-04-02;1187
1ªDose;2021-04-04;86
1ªDose;2021-04-05;1316
1ªDose;2021-04-06;1531
1ªDose;2021-04-07;1718
1ªDose;2021-04-08;1643
1ªDose;2021-04-09;1564
1ªDose;2021-04-10;1326
1ªDose;2021-04-11;1
1ªDose;2021-04-12;1458
1ªDose;2021-04-13;1585
1ªDose;2021-04-14;1361
1ªDose;2021-04-15;1292
1ªDose;2021-04-18;1
1ªDose;2021-04-19;52
1ªDose;2021-04-20;457
1ªDose;2021-04-21;641
1ªDose;2021-04-22;610
1ªDose;2021-04-23;396
1ªDose;2021-04-24;2
1ªDose;2021-04-27;6
2ªDose;2021-01-19;1
2ªDose;2021-01-20;2
2ªDose;2021-01-21;2
2ªDose;2021-01-22;16
2ªDose;2021-01-23;2
2ªDose;2021-01-25;3
2ªDose;2021-01-26;4
2ªDose;2021-01-27;6
2ªDose;2021-01-28;6
2ªDose;2021-01-29;6
2ªDose;2021-02-01;4
2ªDose;2021-02-02;2
2ªDose;2021-02-03;4
2ªDose;2021-02-04;2
2ªDose;2021-02-05;2
2ªDose;2021-02-07;1
2ªDose;2021-02-08;3
2ªDose;2021-02-09;32
2ªDose;2021-02-10;44
2ªDose;2021-02-11;462
2ªDose;2021-02-12;244
2ªDose;2021-02-14;1
2ªDose;2021-02-15;200
2ªDose;2021-02-16;282
2ªDose;2021-02-17;572
2ªDose;2021-02-18;463
2ªDose;2021-02-19;318
2ªDose;2021-02-20;2
2ªDose;2021-02-22;421
2ªDose;2021-02-23;504
2ªDose;2021-02-24;382
2ªDose;2021-02-25;31
2ªDose;2021-02-26;90
2ªDose;2021-02-27;3
2ªDose;2021-02-28;2
2ªDose;2021-03-01;128
2ªDose;2021-03-02;99
2ªDose;2021-03-03;274
2ªDose;2021-03-04;196
2ªDose;2021-03-05;55
2ªDose;2021-03-06;12
2ªDose;2021-03-07;1
2ªDose;2021-03-08;197
2ªDose;2021-03-09;156
2ªDose;2021-03-10;374
2ªDose;2021-03-11;615
2ªDose;2021-03-12;693
2ªDose;2021-03-13;4
2ªDose;2021-03-15;123
2ªDose;2021-03-16;92
2ªDose;2021-03-17;68
2ªDose;2021-03-18;56
2ªDose;2021-03-19;53
2ªDose;2021-03-20;1
2ªDose;2021-03-21;1
2ªDose;2021-03-22;66
2ªDose;2021-03-23;31
2ªDose;2021-03-24;40
2ªDose;2021-03-25;46
2ªDose;2021-03-26;194
2ªDose;2021-03-29;381
2ªDose;2021-03-30;581
2ªDose;2021-03-31;644
2ªDose;2021-04-01;300
2ªDose;2021-04-02;18
2ªDose;2021-04-04;2
2ªDose;2021-04-05;1176
2ªDose;2021-04-06;967
2ªDose;2021-04-07;605
2ªDose;2021-04-08;652
2ªDose;2021-04-09;920
2ªDose;2021-04-10;42
2ªDose;2021-04-11;2
2ªDose;2021-04-12;1025
2ªDose;2021-04-13;1003
2ªDose;2021-04-14;841
2ªDose;2021-04-15;762
2ªDose;2021-04-16;2
2ªDose;2021-04-18;2
2ªDose;2021-04-19;2204
2ªDose;2021-04-20;944
2ªDose;2021-04-21;494
2ªDose;2021-04-22;1162
2ªDose;2021-04-23;744
2ªDose;2021-04-24;1
2ªDose;2021-04-26;3
2ªDose;2021-04-27;2
2ªDose;2021-04-28;1
2ªDose;2021-04-29;13
