index;count
2021-05-04;3
2021-05-05;3
2021-05-06;10
2021-05-07;10
2021-05-08;10
2021-05-09;10
2021-05-10;10
2021-05-11;10
2021-05-12;10
2021-05-13;10
2021-05-14;10
2021-05-15;10
2021-05-16;10
2021-05-17;10
2021-05-18;10
2021-05-19;10
2021-05-20;10
2021-05-21;10
2021-05-22;199
2021-05-23;199
2021-05-24;209
2021-05-25;209
2021-05-26;209
2021-05-27;228
2021-05-28;239
2021-05-29;239
2021-05-30;239
2021-05-31;239
2021-06-01;239
2021-06-02;239
2021-06-03;239
2021-06-04;239
2021-06-05;239
2021-06-06;239
2021-06-07;239
2021-06-08;239
2021-06-09;239
2021-06-10;239
2021-06-11;239
2021-06-12;239
2021-06-13;239
2021-06-14;239
2021-06-15;239
2021-06-16;291
2021-06-17;291
2021-06-18;296
2021-06-19;296
2021-06-20;296
2021-06-21;344
2021-06-22;384
2021-06-23;384
2021-06-24;384
2021-06-25;410
2021-06-26;415
2021-06-27;415
2021-06-28;415
2021-06-29;425
2021-06-30;425
2021-07-01;425
2021-07-02;573
2021-07-03;573
2021-07-04;573
2021-07-05;574
2021-07-06;576
2021-07-07;599
2021-07-08;619
2021-07-09;749
2021-07-10;749
2021-07-11;749
2021-07-12;755
2021-07-13;758
2021-07-14;952
2021-07-15;985
2021-07-16;986
2021-07-17;990
2021-07-18;990
2021-07-19;998
2021-07-20;1004
2021-07-21;1006
2021-07-22;1006
2021-07-23;1049
