index;count
2021-05-04;12
2021-05-05;21
2021-05-06;55
2021-05-07;60
2021-05-08;60
2021-05-09;74
2021-05-10;84
2021-05-11;86
2021-05-12;86
2021-05-13;87
2021-05-14;87
2021-05-15;87
2021-05-16;87
2021-05-17;88
2021-05-18;88
2021-05-19;88
2021-05-20;88
2021-05-21;88
2021-05-22;97
2021-05-23;97
2021-05-24;97
2021-05-25;97
2021-05-26;97
2021-05-27;103
2021-05-28;103
2021-05-29;103
2021-05-30;103
2021-05-31;103
2021-06-01;103
2021-06-02;103
2021-06-03;103
2021-06-04;103
2021-06-05;103
2021-06-06;103
2021-06-07;103
2021-06-08;103
2021-06-09;103
2021-06-10;103
2021-06-11;103
2021-06-12;103
2021-06-13;103
2021-06-14;103
2021-06-15;103
2021-06-16;103
2021-06-17;103
2021-06-18;103
2021-06-19;114
2021-06-20;126
2021-06-21;126
2021-06-22;126
2021-06-23;126
2021-06-24;126
2021-06-25;126
2021-06-26;138
2021-06-27;138
2021-06-28;138
2021-06-29;138
2021-06-30;138
2021-07-01;138
2021-07-02;138
2021-07-03;138
2021-07-04;138
2021-07-05;138
2021-07-06;138
2021-07-07;138
2021-07-08;179
2021-07-09;183
2021-07-10;183
2021-07-11;277
2021-07-12;277
2021-07-13;293
2021-07-14;293
2021-07-15;293
2021-07-16;295
2021-07-17;295
2021-07-18;333
2021-07-19;333
2021-07-20;350
2021-07-21;369
