index;count
2021-05-04;5
2021-05-05;7
2021-05-06;7
2021-05-07;7
2021-05-08;7
2021-05-09;7
2021-05-10;7
2021-05-11;7
2021-05-12;7
2021-05-13;16
2021-05-14;16
2021-05-15;16
2021-05-16;16
2021-05-17;16
2021-05-18;16
2021-05-19;16
2021-05-20;18
2021-05-21;25
2021-05-22;25
2021-05-23;25
2021-05-24;28
2021-05-25;51
2021-05-26;60
2021-05-27;60
2021-05-28;68
2021-05-29;68
2021-05-30;68
2021-05-31;75
2021-06-01;78
2021-06-02;78
2021-06-03;78
2021-06-04;78
2021-06-05;78
2021-06-06;78
2021-06-07;78
2021-06-08;78
2021-06-09;78
2021-06-10;78
2021-06-11;78
2021-06-12;78
2021-06-13;78
2021-06-14;78
2021-06-15;78
2021-06-16;78
2021-06-17;86
2021-06-18;86
2021-06-19;145
2021-06-20;145
2021-06-21;145
2021-06-22;163
2021-06-23;163
2021-06-24;163
2021-06-25;163
2021-06-26;163
2021-06-27;163
2021-06-28;163
2021-06-29;164
2021-06-30;164
2021-07-01;164
2021-07-02;164
2021-07-03;164
2021-07-04;164
2021-07-05;164
2021-07-06;179
2021-07-07;179
2021-07-08;187
2021-07-09;187
2021-07-10;187
2021-07-11;187
2021-07-12;244
2021-07-13;245
2021-07-14;252
2021-07-15;279
2021-07-16;279
2021-07-17;279
2021-07-18;279
2021-07-19;346
