Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;1
1ªDose;2021-02-02;1
1ªDose;2021-02-03;3
1ªDose;2021-02-04;6
1ªDose;2021-02-05;4
1ªDose;2021-02-08;4
1ªDose;2021-02-09;18
1ªDose;2021-02-10;32
1ªDose;2021-02-11;98
1ªDose;2021-02-12;11
1ªDose;2021-02-16;30
1ªDose;2021-02-17;60
1ªDose;2021-02-18;13
1ªDose;2021-02-22;8
1ªDose;2021-02-23;2
1ªDose;2021-02-24;4
1ªDose;2021-02-25;6
1ªDose;2021-03-03;1
1ªDose;2021-03-07;1
1ªDose;2021-03-09;10
1ªDose;2021-03-10;18
1ªDose;2021-03-11;30
1ªDose;2021-03-12;19
1ªDose;2021-03-15;20
1ªDose;2021-03-16;39
1ªDose;2021-03-17;6
1ªDose;2021-03-18;69
1ªDose;2021-03-19;30
1ªDose;2021-03-22;40
1ªDose;2021-03-23;66
1ªDose;2021-03-24;49
1ªDose;2021-03-25;112
1ªDose;2021-03-26;57
1ªDose;2021-03-29;93
1ªDose;2021-03-30;100
1ªDose;2021-03-31;33
1ªDose;2021-04-05;20
1ªDose;2021-04-06;57
1ªDose;2021-04-07;198
1ªDose;2021-04-08;52
1ªDose;2021-04-09;74
1ªDose;2021-04-12;45
1ªDose;2021-04-13;30
1ªDose;2021-04-14;8
1ªDose;2021-04-15;32
1ªDose;2021-04-16;6
1ªDose;2021-04-19;3
1ªDose;2021-04-20;6
1ªDose;2021-04-22;3
1ªDose;2021-04-26;4
1ªDose;2021-04-27;1
1ªDose;2021-04-28;5
2ªDose;2021-02-16;3
2ªDose;2021-02-17;1
2ªDose;2021-02-18;13
2ªDose;2021-02-19;6
2ªDose;2021-02-22;11
2ªDose;2021-02-23;1
2ªDose;2021-02-24;2
2ªDose;2021-02-25;3
2ªDose;2021-02-26;4
2ªDose;2021-03-05;9
2ªDose;2021-03-09;16
2ªDose;2021-03-10;33
2ªDose;2021-03-11;27
2ªDose;2021-03-12;34
2ªDose;2021-03-15;20
2ªDose;2021-03-16;21
2ªDose;2021-03-17;64
2ªDose;2021-03-18;17
2ªDose;2021-03-19;4
2ªDose;2021-03-23;8
2ªDose;2021-03-24;6
2ªDose;2021-03-25;3
2ªDose;2021-03-26;1
2ªDose;2021-03-30;1
2ªDose;2021-04-05;1
2ªDose;2021-04-06;10
2ªDose;2021-04-07;5
2ªDose;2021-04-08;12
2ªDose;2021-04-10;1
2ªDose;2021-04-12;26
2ªDose;2021-04-13;30
2ªDose;2021-04-14;3
2ªDose;2021-04-15;63
2ªDose;2021-04-16;25
2ªDose;2021-04-19;64
2ªDose;2021-04-20;23
2ªDose;2021-04-21;1
2ªDose;2021-04-22;92
2ªDose;2021-04-23;12
2ªDose;2021-04-26;96
2ªDose;2021-04-27;8
2ªDose;2021-04-28;39
2ªDose;2021-04-29;43
