Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;10
1ªDose;2021-02-03;11
1ªDose;2021-02-04;9
1ªDose;2021-02-05;10
1ªDose;2021-02-08;1
1ªDose;2021-02-11;26
1ªDose;2021-02-12;10
1ªDose;2021-02-18;11
1ªDose;2021-02-19;1
1ªDose;2021-02-24;1
1ªDose;2021-02-26;1
1ªDose;2021-03-02;87
1ªDose;2021-03-03;38
1ªDose;2021-03-04;18
1ªDose;2021-03-05;4
1ªDose;2021-03-08;9
1ªDose;2021-03-09;48
1ªDose;2021-03-10;19
1ªDose;2021-03-11;8
1ªDose;2021-03-12;9
1ªDose;2021-03-15;38
1ªDose;2021-03-22;28
1ªDose;2021-03-23;56
1ªDose;2021-03-24;45
1ªDose;2021-03-25;91
1ªDose;2021-03-26;94
1ªDose;2021-03-29;88
1ªDose;2021-03-30;116
1ªDose;2021-03-31;29
1ªDose;2021-04-05;5
1ªDose;2021-04-06;16
1ªDose;2021-04-07;7
1ªDose;2021-04-12;81
1ªDose;2021-04-13;32
1ªDose;2021-04-14;8
1ªDose;2021-04-15;6
1ªDose;2021-04-16;21
1ªDose;2021-04-19;57
1ªDose;2021-04-20;69
1ªDose;2021-04-21;1
1ªDose;2021-04-22;29
1ªDose;2021-04-23;12
1ªDose;2021-04-26;76
1ªDose;2021-04-27;55
1ªDose;2021-04-28;45
1ªDose;2021-04-29;15
2ªDose;2021-02-08;6
2ªDose;2021-02-09;6
2ªDose;2021-02-10;5
2ªDose;2021-02-11;5
2ªDose;2021-02-12;4
2ªDose;2021-02-18;25
2ªDose;2021-02-19;3
2ªDose;2021-02-22;3
2ªDose;2021-02-23;12
2ªDose;2021-02-24;11
2ªDose;2021-02-25;8
2ªDose;2021-02-26;9
2ªDose;2021-03-01;1
2ªDose;2021-03-02;3
2ªDose;2021-03-04;25
2ªDose;2021-03-05;9
2ªDose;2021-03-08;1
2ªDose;2021-03-10;1
2ªDose;2021-03-11;10
2ªDose;2021-03-15;1
2ªDose;2021-03-16;1
2ªDose;2021-03-17;1
2ªDose;2021-03-18;1
2ªDose;2021-03-23;2
2ªDose;2021-03-26;4
2ªDose;2021-03-29;8
2ªDose;2021-03-30;18
2ªDose;2021-03-31;17
2ªDose;2021-04-05;37
2ªDose;2021-04-06;22
2ªDose;2021-04-07;2
2ªDose;2021-04-12;21
2ªDose;2021-04-13;52
2ªDose;2021-04-14;42
2ªDose;2021-04-15;68
2ªDose;2021-04-16;107
2ªDose;2021-04-19;86
2ªDose;2021-04-20;104
2ªDose;2021-04-22;28
2ªDose;2021-04-23;7
2ªDose;2021-04-27;10
2ªDose;2021-04-28;10
