Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;78
1ªDose;2021-01-22;16
1ªDose;2021-01-25;20
1ªDose;2021-01-26;15
1ªDose;2021-01-27;34
1ªDose;2021-01-28;34
1ªDose;2021-01-29;23
1ªDose;2021-02-01;16
1ªDose;2021-02-03;5
1ªDose;2021-02-04;2
1ªDose;2021-02-05;82
1ªDose;2021-02-06;6
1ªDose;2021-02-08;34
1ªDose;2021-02-09;14
1ªDose;2021-02-10;16
1ªDose;2021-02-11;23
1ªDose;2021-02-12;41
1ªDose;2021-02-15;1
1ªDose;2021-02-18;17
1ªDose;2021-02-19;53
1ªDose;2021-02-20;2
1ªDose;2021-02-22;25
1ªDose;2021-02-23;76
1ªDose;2021-02-24;37
1ªDose;2021-02-25;12
1ªDose;2021-02-26;34
1ªDose;2021-03-01;27
1ªDose;2021-03-02;35
1ªDose;2021-03-03;11
1ªDose;2021-03-04;29
1ªDose;2021-03-05;92
1ªDose;2021-03-06;1
1ªDose;2021-03-08;42
1ªDose;2021-03-09;44
1ªDose;2021-03-10;22
1ªDose;2021-03-11;25
1ªDose;2021-03-12;35
1ªDose;2021-03-13;2
1ªDose;2021-03-15;7
1ªDose;2021-03-16;30
1ªDose;2021-03-17;244
1ªDose;2021-03-18;63
1ªDose;2021-03-19;108
1ªDose;2021-03-20;1
1ªDose;2021-03-22;131
1ªDose;2021-03-23;127
1ªDose;2021-03-24;348
1ªDose;2021-03-25;110
1ªDose;2021-03-26;86
1ªDose;2021-03-28;1
1ªDose;2021-03-29;450
1ªDose;2021-03-30;502
1ªDose;2021-03-31;541
1ªDose;2021-04-01;2
1ªDose;2021-04-02;17
1ªDose;2021-04-03;263
1ªDose;2021-04-04;124
1ªDose;2021-04-05;100
1ªDose;2021-04-06;38
1ªDose;2021-04-07;146
1ªDose;2021-04-08;69
1ªDose;2021-04-09;23
1ªDose;2021-04-10;13
1ªDose;2021-04-11;1
1ªDose;2021-04-12;18
1ªDose;2021-04-13;27
1ªDose;2021-04-14;36
1ªDose;2021-04-15;26
1ªDose;2021-04-16;42
1ªDose;2021-04-17;1
1ªDose;2021-04-18;1
1ªDose;2021-04-19;12
1ªDose;2021-04-20;62
1ªDose;2021-04-22;89
1ªDose;2021-04-23;46
1ªDose;2021-04-24;16
1ªDose;2021-04-26;4
1ªDose;2021-04-27;58
1ªDose;2021-04-28;117
1ªDose;2021-04-29;18
1ªDose;2021-04-30;5
2ªDose;2021-01-27;1
2ªDose;2021-02-10;1
2ªDose;2021-02-12;2
2ªDose;2021-02-18;69
2ªDose;2021-02-19;46
2ªDose;2021-02-22;56
2ªDose;2021-02-23;5
2ªDose;2021-02-24;3
2ªDose;2021-02-26;1
2ªDose;2021-03-01;13
2ªDose;2021-03-02;40
2ªDose;2021-03-03;33
2ªDose;2021-03-04;6
2ªDose;2021-03-05;39
2ªDose;2021-03-06;2
2ªDose;2021-03-08;41
2ªDose;2021-03-09;20
2ªDose;2021-03-10;8
2ªDose;2021-03-11;16
2ªDose;2021-03-12;41
2ªDose;2021-03-15;17
2ªDose;2021-03-16;3
2ªDose;2021-03-17;23
2ªDose;2021-03-18;39
2ªDose;2021-03-19;81
2ªDose;2021-03-20;1
2ªDose;2021-03-22;31
2ªDose;2021-03-23;34
2ªDose;2021-03-24;29
2ªDose;2021-03-25;14
2ªDose;2021-03-26;50
2ªDose;2021-03-29;24
2ªDose;2021-03-30;36
2ªDose;2021-03-31;19
2ªDose;2021-04-02;1
2ªDose;2021-04-03;5
2ªDose;2021-04-04;4
2ªDose;2021-04-05;32
2ªDose;2021-04-06;41
2ªDose;2021-04-07;41
2ªDose;2021-04-08;131
2ªDose;2021-04-09;124
2ªDose;2021-04-10;39
2ªDose;2021-04-12;68
2ªDose;2021-04-13;211
2ªDose;2021-04-14;285
2ªDose;2021-04-15;171
2ªDose;2021-04-16;182
2ªDose;2021-04-17;108
2ªDose;2021-04-18;51
2ªDose;2021-04-19;134
2ªDose;2021-04-20;167
2ªDose;2021-04-22;310
2ªDose;2021-04-23;239
2ªDose;2021-04-24;152
2ªDose;2021-04-25;6
2ªDose;2021-04-26;101
2ªDose;2021-04-27;77
2ªDose;2021-04-28;174
2ªDose;2021-04-29;10
2ªDose;2021-04-30;88
