index;count
2021-05-27;28
2021-05-28;67
2021-05-29;71
2021-05-30;71
2021-05-31;95
2021-06-01;95
2021-06-02;95
2021-06-03;95
2021-06-04;95
2021-06-05;95
2021-06-06;95
2021-06-07;95
2021-06-08;118
2021-06-09;126
2021-06-10;126
2021-06-11;126
2021-06-12;126
2021-06-13;126
2021-06-14;126
2021-06-15;126
2021-06-16;126
2021-06-17;126
2021-06-18;126
2021-06-19;126
2021-06-20;126
2021-06-21;126
2021-06-22;126
2021-06-23;126
2021-06-24;126
2021-06-25;126
2021-06-26;126
2021-06-27;126
2021-06-28;126
2021-06-29;196
2021-06-30;227
2021-07-01;289
2021-07-02;289
2021-07-03;289
2021-07-04;289
2021-07-05;289
2021-07-06;289
2021-07-07;320
2021-07-08;331
2021-07-09;337
2021-07-10;337
2021-07-11;337
2021-07-12;337
2021-07-13;397
2021-07-14;400
2021-07-15;409
