index;count
2021-05-25;9
2021-05-26;19
2021-05-27;29
2021-05-28;29
2021-05-29;29
2021-05-30;29
2021-05-31;29
2021-06-01;29
2021-06-02;29
2021-06-03;29
2021-06-04;29
2021-06-05;29
2021-06-06;29
2021-06-07;29
2021-06-08;29
2021-06-09;29
2021-06-10;29
2021-06-11;29
2021-06-12;29
2021-06-13;29
2021-06-14;29
2021-06-15;29
2021-06-16;29
2021-06-17;29
2021-06-18;29
2021-06-19;29
2021-06-20;29
2021-06-21;29
2021-06-22;39
2021-06-23;39
2021-06-24;39
2021-06-25;39
2021-06-26;39
2021-06-27;39
2021-06-28;39
2021-06-29;43
2021-06-30;43
2021-07-01;48
2021-07-02;48
2021-07-03;48
2021-07-04;48
2021-07-05;48
2021-07-06;48
2021-07-07;48
2021-07-08;58
2021-07-09;58
2021-07-10;58
2021-07-11;58
2021-07-12;72
2021-07-13;72
2021-07-14;106
2021-07-15;140
2021-07-16;140
2021-07-17;140
2021-07-18;140
2021-07-19;140
2021-07-20;140
2021-07-21;140
2021-07-22;169
