index;count
2021-05-06;10
2021-05-07;11
2021-05-08;11
2021-05-09;11
2021-05-10;11
2021-05-11;11
2021-05-12;15
2021-05-13;15
2021-05-14;15
2021-05-15;15
2021-05-16;15
2021-05-17;15
2021-05-18;15
2021-05-19;15
2021-05-20;15
2021-05-21;16
2021-05-22;16
2021-05-23;16
2021-05-24;16
2021-05-25;16
2021-05-26;16
2021-05-27;46
2021-05-28;60
2021-05-29;60
2021-05-30;60
2021-05-31;71
2021-06-01;71
2021-06-02;89
2021-06-03;89
2021-06-04;89
2021-06-05;89
2021-06-06;89
2021-06-07;89
2021-06-08;89
2021-06-09;89
2021-06-10;89
2021-06-11;89
2021-06-12;89
2021-06-13;89
2021-06-14;89
2021-06-15;89
2021-06-16;89
2021-06-17;89
2021-06-18;89
2021-06-19;89
2021-06-20;89
2021-06-21;89
2021-06-22;89
2021-06-23;126
2021-06-24;201
2021-06-25;201
2021-06-26;258
2021-06-27;258
2021-06-28;258
2021-06-29;282
2021-06-30;282
2021-07-01;282
2021-07-02;282
2021-07-03;282
2021-07-04;282
2021-07-05;282
2021-07-06;284
2021-07-07;284
2021-07-08;284
2021-07-09;284
2021-07-10;284
2021-07-11;284
2021-07-12;284
2021-07-13;285
2021-07-14;285
2021-07-15;285
2021-07-16;285
2021-07-17;285
2021-07-18;285
2021-07-19;285
2021-07-20;285
2021-07-21;286
2021-07-22;290
2021-07-23;292
