index;count
2021-05-06;2
2021-05-07;3
2021-05-08;3
2021-05-09;3
2021-05-10;4
2021-05-11;4
2021-05-12;7
2021-05-13;9
2021-05-14;37
2021-05-15;37
2021-05-16;37
2021-05-17;61
2021-05-18;79
2021-05-19;79
2021-05-20;82
2021-05-21;82
2021-05-22;82
2021-05-23;82
2021-05-24;82
2021-05-25;115
2021-05-26;137
2021-05-27;196
2021-05-28;217
2021-05-29;217
2021-05-30;217
2021-05-31;217
2021-06-01;217
2021-06-02;217
2021-06-03;217
2021-06-04;217
2021-06-05;217
2021-06-06;217
2021-06-07;217
2021-06-08;217
2021-06-09;217
2021-06-10;217
2021-06-11;217
2021-06-12;217
2021-06-13;217
2021-06-14;217
2021-06-15;217
2021-06-16;217
2021-06-17;217
2021-06-18;217
2021-06-19;217
2021-06-20;217
2021-06-21;217
2021-06-22;217
2021-06-23;260
2021-06-24;260
2021-06-25;260
2021-06-26;260
2021-06-27;260
2021-06-28;260
2021-06-29;260
2021-06-30;260
2021-07-01;260
2021-07-02;260
2021-07-03;260
2021-07-04;260
2021-07-05;260
2021-07-06;260
2021-07-07;359
2021-07-08;369
2021-07-09;374
2021-07-10;374
2021-07-11;374
2021-07-12;374
2021-07-13;679
2021-07-14;679
2021-07-15;679
2021-07-16;679
2021-07-17;680
2021-07-18;680
2021-07-19;680
2021-07-20;680
2021-07-21;770
2021-07-22;855
2021-07-23;864
