index;count
2021-05-06;2
2021-05-07;2
2021-05-08;2
2021-05-09;2
2021-05-10;2
2021-05-11;2
2021-05-12;2
2021-05-13;2
2021-05-14;2
2021-05-15;2
2021-05-16;2
2021-05-17;2
2021-05-18;2
2021-05-19;2
2021-05-20;2
2021-05-21;2
2021-05-22;2
2021-05-23;2
2021-05-24;2
2021-05-25;11
2021-05-26;41
2021-05-27;57
2021-05-28;78
2021-05-29;78
2021-05-30;78
2021-05-31;78
2021-06-01;87
2021-06-02;87
2021-06-03;87
2021-06-04;87
2021-06-05;87
2021-06-06;87
2021-06-07;87
2021-06-08;87
2021-06-09;87
2021-06-10;87
2021-06-11;87
2021-06-12;87
2021-06-13;87
2021-06-14;87
2021-06-15;87
2021-06-16;87
2021-06-17;87
2021-06-18;87
2021-06-19;87
2021-06-20;87
2021-06-21;87
2021-06-22;87
2021-06-23;116
2021-06-24;116
2021-06-25;116
2021-06-26;116
2021-06-27;116
2021-06-28;116
2021-06-29;116
2021-06-30;116
2021-07-01;116
2021-07-02;116
2021-07-03;116
2021-07-04;116
2021-07-05;116
2021-07-06;116
2021-07-07;133
