index;count
2021-05-04;12
2021-05-05;57
2021-05-06;60
2021-05-07;60
2021-05-08;60
2021-05-09;60
2021-05-10;61
2021-05-11;65
2021-05-12;68
2021-05-13;69
2021-05-14;71
2021-05-15;71
2021-05-16;71
2021-05-17;71
2021-05-18;85
2021-05-19;85
2021-05-20;86
2021-05-21;95
2021-05-22;95
2021-05-23;95
2021-05-24;95
2021-05-25;96
2021-05-26;102
2021-05-27;103
2021-05-28;103
2021-05-29;103
2021-05-30;103
2021-05-31;103
2021-06-01;103
2021-06-02;103
2021-06-03;103
2021-06-04;103
2021-06-05;103
2021-06-06;103
2021-06-07;103
2021-06-08;103
2021-06-09;103
2021-06-10;103
2021-06-11;103
2021-06-12;103
2021-06-13;103
2021-06-14;103
2021-06-15;103
2021-06-16;103
2021-06-17;103
2021-06-18;103
2021-06-19;103
2021-06-20;103
2021-06-21;103
2021-06-22;372
2021-06-23;372
2021-06-24;372
2021-06-25;372
2021-06-26;372
2021-06-27;372
2021-06-28;377
2021-06-29;377
2021-06-30;421
2021-07-01;422
2021-07-02;422
2021-07-03;422
2021-07-04;422
2021-07-05;422
2021-07-06;422
2021-07-07;429
2021-07-08;430
2021-07-09;430
2021-07-10;430
2021-07-11;430
2021-07-12;430
2021-07-13;432
2021-07-14;432
2021-07-15;474
2021-07-16;493
2021-07-17;493
2021-07-18;493
2021-07-19;493
2021-07-20;503
2021-07-21;505
2021-07-22;509
2021-07-23;510
