index;count
2021-05-04;49
2021-05-05;56
2021-05-06;60
2021-05-07;68
2021-05-08;68
2021-05-09;68
2021-05-10;85
2021-05-11;91
2021-05-12;99
2021-05-13;99
2021-05-14;99
2021-05-15;105
2021-05-16;105
2021-05-17;105
2021-05-18;105
2021-05-19;105
2021-05-20;105
2021-05-21;105
2021-05-22;106
2021-05-23;106
2021-05-24;106
2021-05-25;106
2021-05-26;126
2021-05-27;126
2021-05-28;146
2021-05-29;146
2021-05-30;146
2021-05-31;155
2021-06-01;155
2021-06-02;155
2021-06-03;155
2021-06-04;155
2021-06-05;155
2021-06-06;155
2021-06-07;155
2021-06-08;155
2021-06-09;155
2021-06-10;155
2021-06-11;155
2021-06-12;155
2021-06-13;155
2021-06-14;155
2021-06-15;155
2021-06-16;155
2021-06-17;155
2021-06-18;155
2021-06-19;155
2021-06-20;155
2021-06-21;155
2021-06-22;155
2021-06-23;155
2021-06-24;155
2021-06-25;155
2021-06-26;155
2021-06-27;155
2021-06-28;155
2021-06-29;155
2021-06-30;155
2021-07-01;155
2021-07-02;155
2021-07-03;155
2021-07-04;155
2021-07-05;188
2021-07-06;188
2021-07-07;188
2021-07-08;188
2021-07-09;188
2021-07-10;310
2021-07-11;310
2021-07-12;322
2021-07-13;328
2021-07-14;328
2021-07-15;328
2021-07-16;328
2021-07-17;328
2021-07-18;328
2021-07-19;340
2021-07-20;413
2021-07-21;431
