Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;1
1ªDose;2021-01-19;30
1ªDose;2021-01-21;13
1ªDose;2021-01-22;170
1ªDose;2021-01-23;1
1ªDose;2021-01-24;1
1ªDose;2021-01-25;98
1ªDose;2021-01-26;213
1ªDose;2021-01-27;295
1ªDose;2021-01-28;128
1ªDose;2021-01-29;166
1ªDose;2021-01-30;279
1ªDose;2021-02-01;16
1ªDose;2021-02-02;178
1ªDose;2021-02-03;105
1ªDose;2021-02-04;126
1ªDose;2021-02-05;65
1ªDose;2021-02-06;98
1ªDose;2021-02-08;18
1ªDose;2021-02-09;14
1ªDose;2021-02-10;56
1ªDose;2021-02-11;60
1ªDose;2021-02-12;42
1ªDose;2021-02-15;17
1ªDose;2021-02-16;8
1ªDose;2021-02-17;2
1ªDose;2021-02-18;9
1ªDose;2021-02-19;11
1ªDose;2021-02-20;1
1ªDose;2021-02-22;9
1ªDose;2021-02-23;5
1ªDose;2021-02-24;3
1ªDose;2021-02-25;1
1ªDose;2021-02-27;3
1ªDose;2021-03-01;24
1ªDose;2021-03-02;2
1ªDose;2021-03-03;2
1ªDose;2021-03-04;3
1ªDose;2021-03-05;32
1ªDose;2021-03-06;1
1ªDose;2021-03-08;70
1ªDose;2021-03-09;44
1ªDose;2021-03-10;2
1ªDose;2021-03-11;1
1ªDose;2021-03-12;56
1ªDose;2021-03-15;34
1ªDose;2021-03-16;8
1ªDose;2021-03-17;2
1ªDose;2021-03-18;45
1ªDose;2021-03-19;128
1ªDose;2021-03-20;21
1ªDose;2021-03-23;140
1ªDose;2021-03-24;135
1ªDose;2021-03-25;55
1ªDose;2021-03-26;38
1ªDose;2021-03-29;25
1ªDose;2021-03-30;350
1ªDose;2021-03-31;33
1ªDose;2021-04-01;47
1ªDose;2021-04-05;47
1ªDose;2021-04-06;27
1ªDose;2021-04-07;15
1ªDose;2021-04-08;8
1ªDose;2021-04-09;7
1ªDose;2021-04-12;1
1ªDose;2021-04-13;5
1ªDose;2021-04-14;4
1ªDose;2021-04-15;1
1ªDose;2021-04-16;1
1ªDose;2021-04-19;2
1ªDose;2021-04-20;2
1ªDose;2021-04-28;1
2ªDose;2021-01-22;1
2ªDose;2021-01-27;1
2ªDose;2021-02-02;1
2ªDose;2021-02-03;43
2ªDose;2021-02-04;17
2ªDose;2021-02-06;3
2ªDose;2021-02-09;1
2ªDose;2021-02-10;2
2ªDose;2021-02-11;2
2ªDose;2021-02-12;2
2ªDose;2021-02-15;39
2ªDose;2021-02-16;124
2ªDose;2021-02-17;203
2ªDose;2021-02-18;370
2ªDose;2021-02-19;175
2ªDose;2021-02-20;120
2ªDose;2021-02-22;20
2ªDose;2021-02-23;75
2ªDose;2021-02-24;162
2ªDose;2021-02-25;209
2ªDose;2021-02-26;19
2ªDose;2021-02-27;173
2ªDose;2021-03-01;26
2ªDose;2021-03-02;97
2ªDose;2021-03-03;69
2ªDose;2021-03-04;35
2ªDose;2021-03-05;25
2ªDose;2021-03-08;47
2ªDose;2021-03-09;15
2ªDose;2021-03-10;37
2ªDose;2021-03-11;4
2ªDose;2021-03-12;23
2ªDose;2021-03-13;1
2ªDose;2021-03-14;1
2ªDose;2021-03-15;41
2ªDose;2021-03-16;3
2ªDose;2021-03-17;7
2ªDose;2021-03-18;16
2ªDose;2021-03-19;1
2ªDose;2021-03-23;17
2ªDose;2021-03-24;1
2ªDose;2021-03-26;1
2ªDose;2021-03-29;8
2ªDose;2021-03-30;3
2ªDose;2021-04-01;7
2ªDose;2021-04-05;22
2ªDose;2021-04-06;28
2ªDose;2021-04-07;4
2ªDose;2021-04-08;4
2ªDose;2021-04-09;65
2ªDose;2021-04-10;1
2ªDose;2021-04-12;17
2ªDose;2021-04-13;136
2ªDose;2021-04-14;23
2ªDose;2021-04-15;10
2ªDose;2021-04-16;89
2ªDose;2021-04-19;119
2ªDose;2021-04-20;13
2ªDose;2021-04-22;29
2ªDose;2021-04-26;1
2ªDose;2021-04-27;260
2ªDose;2021-04-28;10
