Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;2
1ªDose;2021-01-19;14
1ªDose;2021-01-20;11
1ªDose;2021-01-21;26
1ªDose;2021-01-22;22
1ªDose;2021-01-24;1
1ªDose;2021-01-25;10
1ªDose;2021-01-26;1
1ªDose;2021-01-27;4
1ªDose;2021-01-28;130
1ªDose;2021-01-29;53
1ªDose;2021-01-30;1
1ªDose;2021-02-01;6
1ªDose;2021-02-02;66
1ªDose;2021-02-04;1
1ªDose;2021-02-10;28
1ªDose;2021-02-11;17
1ªDose;2021-02-12;32
1ªDose;2021-02-15;1
1ªDose;2021-02-16;7
1ªDose;2021-02-17;15
1ªDose;2021-02-18;19
1ªDose;2021-02-19;5
1ªDose;2021-02-22;3
1ªDose;2021-02-23;2
1ªDose;2021-02-24;1
1ªDose;2021-02-25;42
1ªDose;2021-02-26;8
1ªDose;2021-03-01;31
1ªDose;2021-03-02;39
1ªDose;2021-03-03;57
1ªDose;2021-03-04;49
1ªDose;2021-03-05;61
1ªDose;2021-03-06;1
1ªDose;2021-03-08;37
1ªDose;2021-03-09;171
1ªDose;2021-03-10;131
1ªDose;2021-03-11;49
1ªDose;2021-03-12;11
1ªDose;2021-03-15;7
1ªDose;2021-03-16;19
1ªDose;2021-03-17;20
1ªDose;2021-03-18;71
1ªDose;2021-03-21;1
1ªDose;2021-03-22;82
1ªDose;2021-03-23;83
1ªDose;2021-03-25;582
1ªDose;2021-03-26;59
1ªDose;2021-03-27;178
1ªDose;2021-03-29;221
1ªDose;2021-03-30;253
1ªDose;2021-03-31;63
1ªDose;2021-04-04;3
1ªDose;2021-04-05;36
1ªDose;2021-04-06;13
1ªDose;2021-04-07;14
1ªDose;2021-04-08;7
1ªDose;2021-04-09;10
1ªDose;2021-04-12;9
1ªDose;2021-04-13;26
1ªDose;2021-04-14;10
1ªDose;2021-04-15;5
1ªDose;2021-04-16;5
1ªDose;2021-04-20;31
1ªDose;2021-04-22;111
1ªDose;2021-04-26;7
1ªDose;2021-04-27;18
1ªDose;2021-04-28;13
1ªDose;2021-04-29;13
2ªDose;2021-01-19;1
2ªDose;2021-01-21;1
2ªDose;2021-01-23;1
2ªDose;2021-02-10;1
2ªDose;2021-02-16;71
2ªDose;2021-02-17;83
2ªDose;2021-02-18;22
2ªDose;2021-02-19;24
2ªDose;2021-02-22;8
2ªDose;2021-02-23;1
2ªDose;2021-02-24;2
2ªDose;2021-02-25;13
2ªDose;2021-02-26;4
2ªDose;2021-03-01;11
2ªDose;2021-03-02;9
2ªDose;2021-03-03;8
2ªDose;2021-03-05;6
2ªDose;2021-03-09;14
2ªDose;2021-03-10;18
2ªDose;2021-03-11;16
2ªDose;2021-03-12;10
2ªDose;2021-03-15;13
2ªDose;2021-03-16;8
2ªDose;2021-03-17;9
2ªDose;2021-03-18;17
2ªDose;2021-03-22;4
2ªDose;2021-03-23;10
2ªDose;2021-03-25;6
2ªDose;2021-03-26;2
2ªDose;2021-03-27;1
2ªDose;2021-03-29;1
2ªDose;2021-03-30;8
2ªDose;2021-03-31;1
2ªDose;2021-04-05;1
2ªDose;2021-04-06;62
2ªDose;2021-04-07;133
2ªDose;2021-04-08;61
2ªDose;2021-04-09;17
2ªDose;2021-04-12;67
2ªDose;2021-04-13;20
2ªDose;2021-04-14;73
2ªDose;2021-04-15;45
2ªDose;2021-04-16;21
2ªDose;2021-04-19;121
2ªDose;2021-04-20;35
2ªDose;2021-04-22;236
2ªDose;2021-04-23;19
2ªDose;2021-04-26;114
2ªDose;2021-04-27;160
2ªDose;2021-04-28;69
2ªDose;2021-04-29;47
2ªDose;2021-04-30;10
