index;count
2021-05-21;11
2021-05-22;11
2021-05-23;11
2021-05-24;32
2021-05-25;43
2021-05-26;65
2021-05-27;76
2021-05-28;76
2021-05-29;76
2021-05-30;76
2021-05-31;76
2021-06-01;76
2021-06-02;76
2021-06-03;76
2021-06-04;76
2021-06-05;76
2021-06-06;76
2021-06-07;76
2021-06-08;76
2021-06-09;76
2021-06-10;76
2021-06-11;76
2021-06-12;76
2021-06-13;76
2021-06-14;76
2021-06-15;76
2021-06-16;76
2021-06-17;76
2021-06-18;76
2021-06-19;76
2021-06-20;76
2021-06-21;76
2021-06-22;76
2021-06-23;129
2021-06-24;129
2021-06-25;129
2021-06-26;129
2021-06-27;129
2021-06-28;129
2021-06-29;140
2021-06-30;140
2021-07-01;140
2021-07-02;140
2021-07-03;140
2021-07-04;140
2021-07-05;140
2021-07-06;140
2021-07-07;140
2021-07-08;193
2021-07-09;193
2021-07-10;193
2021-07-11;193
2021-07-12;193
2021-07-13;262
2021-07-14;262
2021-07-15;262
2021-07-16;262
2021-07-17;262
2021-07-18;262
2021-07-19;262
2021-07-20;262
2021-07-21;273
