index;count
2021-05-21;30
2021-05-22;30
2021-05-23;30
2021-05-24;57
2021-05-25;88
2021-05-26;96
2021-05-27;105
2021-05-28;115
2021-05-29;115
2021-05-30;115
2021-05-31;122
2021-06-01;122
2021-06-02;122
2021-06-03;122
2021-06-04;122
2021-06-05;122
2021-06-06;122
2021-06-07;122
2021-06-08;122
2021-06-09;122
2021-06-10;122
2021-06-11;150
2021-06-12;150
2021-06-13;151
2021-06-14;151
2021-06-15;151
2021-06-16;151
2021-06-17;151
2021-06-18;155
2021-06-19;155
2021-06-20;155
2021-06-21;155
2021-06-22;165
2021-06-23;373
2021-06-24;383
2021-06-25;383
2021-06-26;393
2021-06-27;393
2021-06-28;423
2021-06-29;423
2021-06-30;423
2021-07-01;423
2021-07-02;423
2021-07-03;534
2021-07-04;534
2021-07-05;550
2021-07-06;565
2021-07-07;569
2021-07-08;569
2021-07-09;569
2021-07-10;569
2021-07-11;569
2021-07-12;569
2021-07-13;693
2021-07-14;698
2021-07-15;730
2021-07-16;745
2021-07-17;963
2021-07-18;963
2021-07-19;990
2021-07-20;1023
2021-07-21;1047
2021-07-22;1058
2021-07-23;1061
2021-07-24;1139
