index;count
2021-05-13;34
2021-05-14;34
2021-05-15;34
2021-05-16;34
2021-05-17;34
2021-05-18;34
2021-05-19;34
2021-05-20;34
2021-05-21;132
2021-05-22;132
2021-05-23;132
2021-05-24;144
2021-05-25;144
2021-05-26;144
2021-05-27;144
2021-05-28;144
2021-05-29;144
2021-05-30;144
2021-05-31;144
2021-06-01;144
2021-06-02;144
2021-06-03;144
2021-06-04;144
2021-06-05;144
2021-06-06;144
2021-06-07;144
2021-06-08;144
2021-06-09;144
2021-06-10;144
2021-06-11;144
2021-06-12;144
2021-06-13;144
2021-06-14;144
2021-06-15;144
2021-06-16;144
2021-06-17;144
2021-06-18;144
2021-06-19;144
2021-06-20;144
2021-06-21;144
2021-06-22;167
2021-06-23;167
2021-06-24;167
2021-06-25;167
2021-06-26;167
2021-06-27;167
2021-06-28;167
2021-06-29;167
2021-06-30;167
2021-07-01;167
2021-07-02;167
2021-07-03;184
2021-07-04;184
2021-07-05;184
2021-07-06;184
2021-07-07;184
2021-07-08;184
2021-07-09;189
2021-07-10;189
2021-07-11;189
2021-07-12;296
2021-07-13;296
2021-07-14;296
2021-07-15;306
2021-07-16;306
2021-07-17;306
2021-07-18;306
2021-07-19;393
