index;count
2021-05-06;57
2021-05-07;68
2021-05-08;68
2021-05-09;68
2021-05-10;68
2021-05-11;68
2021-05-12;71
2021-05-13;72
2021-05-14;86
2021-05-15;86
2021-05-16;86
2021-05-17;86
2021-05-18;87
2021-05-19;87
2021-05-20;90
2021-05-21;107
2021-05-22;107
2021-05-23;107
2021-05-24;116
2021-05-25;125
2021-05-26;139
2021-05-27;149
2021-05-28;219
2021-05-29;219
2021-05-30;219
2021-05-31;239
2021-06-01;266
2021-06-02;266
2021-06-03;275
2021-06-04;275
2021-06-05;275
2021-06-06;275
2021-06-07;275
2021-06-08;275
2021-06-09;275
2021-06-10;275
2021-06-11;275
2021-06-12;275
2021-06-13;275
2021-06-14;275
2021-06-15;275
2021-06-16;275
2021-06-17;275
2021-06-18;275
2021-06-19;275
2021-06-20;275
2021-06-21;275
2021-06-22;275
2021-06-23;275
2021-06-24;275
2021-06-25;275
2021-06-26;275
2021-06-27;275
2021-06-28;275
2021-06-29;275
2021-06-30;275
2021-07-01;275
2021-07-02;275
2021-07-03;275
2021-07-04;275
2021-07-05;275
2021-07-06;316
2021-07-07;347
2021-07-08;381
2021-07-09;381
2021-07-10;381
2021-07-11;381
2021-07-12;427
2021-07-13;595
2021-07-14;598
2021-07-15;598
2021-07-16;675
2021-07-17;675
2021-07-18;675
2021-07-19;675
2021-07-20;780
2021-07-21;784
2021-07-22;832
