Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;1
1ªDose;2021-01-20;109
1ªDose;2021-01-21;69
1ªDose;2021-01-22;62
1ªDose;2021-01-23;41
1ªDose;2021-01-24;1
1ªDose;2021-01-25;50
1ªDose;2021-01-26;219
1ªDose;2021-01-27;136
1ªDose;2021-01-29;8
1ªDose;2021-02-01;12
1ªDose;2021-02-02;101
1ªDose;2021-02-03;8
1ªDose;2021-02-04;10
1ªDose;2021-02-05;203
1ªDose;2021-02-08;135
1ªDose;2021-02-09;131
1ªDose;2021-02-10;101
1ªDose;2021-02-11;1061
1ªDose;2021-02-12;749
1ªDose;2021-02-13;4
1ªDose;2021-02-15;5
1ªDose;2021-02-16;4
1ªDose;2021-02-17;683
1ªDose;2021-02-18;514
1ªDose;2021-02-19;542
1ªDose;2021-02-20;1
1ªDose;2021-02-21;4
1ªDose;2021-02-22;272
1ªDose;2021-02-23;467
1ªDose;2021-02-24;321
1ªDose;2021-02-25;546
1ªDose;2021-02-26;33
1ªDose;2021-02-27;3
1ªDose;2021-03-01;54
1ªDose;2021-03-02;33
1ªDose;2021-03-03;49
1ªDose;2021-03-04;102
1ªDose;2021-03-05;113
1ªDose;2021-03-06;1
1ªDose;2021-03-07;1
1ªDose;2021-03-08;57
1ªDose;2021-03-09;970
1ªDose;2021-03-10;715
1ªDose;2021-03-11;680
1ªDose;2021-03-12;582
1ªDose;2021-03-13;5
1ªDose;2021-03-14;1
1ªDose;2021-03-15;488
1ªDose;2021-03-16;631
1ªDose;2021-03-17;111
1ªDose;2021-03-18;87
1ªDose;2021-03-19;57
1ªDose;2021-03-20;4
1ªDose;2021-03-21;2
1ªDose;2021-03-22;25
1ªDose;2021-03-23;41
1ªDose;2021-03-24;35
1ªDose;2021-03-25;87
1ªDose;2021-03-26;36
1ªDose;2021-03-29;45
1ªDose;2021-03-30;21
1ªDose;2021-03-31;681
1ªDose;2021-04-01;592
1ªDose;2021-04-02;295
1ªDose;2021-04-03;174
1ªDose;2021-04-04;171
1ªDose;2021-04-05;199
1ªDose;2021-04-06;348
1ªDose;2021-04-07;676
1ªDose;2021-04-08;260
1ªDose;2021-04-09;162
1ªDose;2021-04-10;273
1ªDose;2021-04-11;200
1ªDose;2021-04-12;363
1ªDose;2021-04-13;351
1ªDose;2021-04-14;715
1ªDose;2021-04-15;529
1ªDose;2021-04-16;220
1ªDose;2021-04-17;168
1ªDose;2021-04-19;640
1ªDose;2021-04-20;656
1ªDose;2021-04-21;235
1ªDose;2021-04-22;115
1ªDose;2021-04-23;5
1ªDose;2021-04-24;3
1ªDose;2021-04-26;586
1ªDose;2021-04-27;7
1ªDose;2021-04-28;29
1ªDose;2021-04-29;1
2ªDose;2021-01-20;1
2ªDose;2021-02-05;1
2ªDose;2021-02-07;1
2ªDose;2021-02-08;5
2ªDose;2021-02-10;15
2ªDose;2021-02-11;9
2ªDose;2021-02-12;94
2ªDose;2021-02-13;6
2ªDose;2021-02-17;79
2ªDose;2021-02-18;153
2ªDose;2021-02-19;249
2ªDose;2021-02-20;65
2ªDose;2021-02-22;135
2ªDose;2021-02-23;341
2ªDose;2021-02-24;211
2ªDose;2021-02-25;58
2ªDose;2021-02-26;155
2ªDose;2021-03-01;83
2ªDose;2021-03-02;104
2ªDose;2021-03-03;217
2ªDose;2021-03-04;685
2ªDose;2021-03-05;664
2ªDose;2021-03-08;49
2ªDose;2021-03-09;174
2ªDose;2021-03-10;510
2ªDose;2021-03-11;374
2ªDose;2021-03-12;294
2ªDose;2021-03-13;3
2ªDose;2021-03-15;213
2ªDose;2021-03-16;436
2ªDose;2021-03-17;295
2ªDose;2021-03-18;582
2ªDose;2021-03-19;72
2ªDose;2021-03-20;3
2ªDose;2021-03-21;2
2ªDose;2021-03-22;76
2ªDose;2021-03-23;60
2ªDose;2021-03-24;101
2ªDose;2021-03-25;37
2ªDose;2021-03-26;16
2ªDose;2021-03-27;1
2ªDose;2021-03-29;302
2ªDose;2021-03-30;684
2ªDose;2021-03-31;746
2ªDose;2021-04-01;520
2ªDose;2021-04-02;20
2ªDose;2021-04-03;13
2ªDose;2021-04-04;6
2ªDose;2021-04-05;607
2ªDose;2021-04-06;444
2ªDose;2021-04-07;293
2ªDose;2021-04-08;178
2ªDose;2021-04-09;46
2ªDose;2021-04-10;9
2ªDose;2021-04-12;32
2ªDose;2021-04-13;42
2ªDose;2021-04-14;37
2ªDose;2021-04-15;55
2ªDose;2021-04-16;29
2ªDose;2021-04-17;12
2ªDose;2021-04-19;54
2ªDose;2021-04-20;176
2ªDose;2021-04-21;93
2ªDose;2021-04-22;461
2ªDose;2021-04-24;3
2ªDose;2021-04-26;653
2ªDose;2021-04-27;69
2ªDose;2021-04-28;23
2ªDose;2021-04-29;11
