Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;1
1ªDose;2021-01-19;15
1ªDose;2021-01-20;46
1ªDose;2021-01-21;58
1ªDose;2021-01-22;230
1ªDose;2021-01-23;26
1ªDose;2021-01-25;53
1ªDose;2021-01-26;169
1ªDose;2021-01-27;73
1ªDose;2021-01-28;402
1ªDose;2021-01-29;35
1ªDose;2021-02-01;259
1ªDose;2021-02-02;162
1ªDose;2021-02-03;225
1ªDose;2021-02-04;348
1ªDose;2021-02-05;155
1ªDose;2021-02-06;68
1ªDose;2021-02-08;257
1ªDose;2021-02-09;250
1ªDose;2021-02-10;266
1ªDose;2021-02-11;260
1ªDose;2021-02-12;299
1ªDose;2021-02-13;1
1ªDose;2021-02-15;205
1ªDose;2021-02-16;209
1ªDose;2021-02-17;214
1ªDose;2021-02-18;190
1ªDose;2021-02-19;248
1ªDose;2021-02-20;399
1ªDose;2021-02-21;3
1ªDose;2021-02-22;8
1ªDose;2021-02-23;129
1ªDose;2021-02-24;81
1ªDose;2021-02-25;100
1ªDose;2021-02-26;120
1ªDose;2021-02-28;1
1ªDose;2021-03-01;309
1ªDose;2021-03-02;272
1ªDose;2021-03-03;263
1ªDose;2021-03-04;221
1ªDose;2021-03-05;232
1ªDose;2021-03-08;424
1ªDose;2021-03-09;337
1ªDose;2021-03-10;44
1ªDose;2021-03-11;118
1ªDose;2021-03-12;492
1ªDose;2021-03-13;411
1ªDose;2021-03-15;591
1ªDose;2021-03-16;502
1ªDose;2021-03-17;471
1ªDose;2021-03-18;203
1ªDose;2021-03-19;107
1ªDose;2021-03-20;106
1ªDose;2021-03-22;761
1ªDose;2021-03-23;1013
1ªDose;2021-03-24;1268
1ªDose;2021-03-25;1268
1ªDose;2021-03-26;1367
1ªDose;2021-03-27;218
1ªDose;2021-03-29;1522
1ªDose;2021-03-30;1609
1ªDose;2021-03-31;1497
1ªDose;2021-04-01;1773
1ªDose;2021-04-02;1229
1ªDose;2021-04-03;1642
1ªDose;2021-04-05;946
1ªDose;2021-04-06;354
1ªDose;2021-04-07;228
1ªDose;2021-04-08;1309
1ªDose;2021-04-09;429
1ªDose;2021-04-12;1240
1ªDose;2021-04-13;544
1ªDose;2021-04-14;288
1ªDose;2021-04-15;215
1ªDose;2021-04-16;137
1ªDose;2021-04-19;1169
1ªDose;2021-04-20;472
1ªDose;2021-04-21;1761
1ªDose;2021-04-22;442
1ªDose;2021-04-23;302
1ªDose;2021-04-26;209
1ªDose;2021-04-27;181
1ªDose;2021-04-28;76
1ªDose;2021-04-29;58
1ªDose;2021-04-30;48
2ªDose;2021-01-21;1
2ªDose;2021-01-27;1
2ªDose;2021-02-02;1
2ªDose;2021-02-04;1
2ªDose;2021-02-05;1
2ªDose;2021-02-08;7
2ªDose;2021-02-09;3
2ªDose;2021-02-10;1
2ªDose;2021-02-11;3
2ªDose;2021-02-12;1
2ªDose;2021-02-13;1
2ªDose;2021-02-15;2
2ªDose;2021-02-16;3
2ªDose;2021-02-17;207
2ªDose;2021-02-18;91
2ªDose;2021-02-19;143
2ªDose;2021-02-20;1
2ªDose;2021-02-22;77
2ªDose;2021-02-23;168
2ªDose;2021-02-24;163
2ªDose;2021-02-25;120
2ªDose;2021-02-26;62
2ªDose;2021-03-01;7
2ªDose;2021-03-02;10
2ªDose;2021-03-03;62
2ªDose;2021-03-04;13
2ªDose;2021-03-05;7
2ªDose;2021-03-06;36
2ªDose;2021-03-08;355
2ªDose;2021-03-09;267
2ªDose;2021-03-10;205
2ªDose;2021-03-11;244
2ªDose;2021-03-12;208
2ªDose;2021-03-13;65
2ªDose;2021-03-15;209
2ªDose;2021-03-16;203
2ªDose;2021-03-17;257
2ªDose;2021-03-18;182
2ªDose;2021-03-19;149
2ªDose;2021-03-20;138
2ªDose;2021-03-22;127
2ªDose;2021-03-23;93
2ªDose;2021-03-24;112
2ªDose;2021-03-25;70
2ªDose;2021-03-26;69
2ªDose;2021-03-27;18
2ªDose;2021-03-29;64
2ªDose;2021-03-30;66
2ªDose;2021-03-31;79
2ªDose;2021-04-01;77
2ªDose;2021-04-02;19
2ªDose;2021-04-03;16
2ªDose;2021-04-05;153
2ªDose;2021-04-06;139
2ªDose;2021-04-07;187
2ªDose;2021-04-08;228
2ªDose;2021-04-09;673
2ªDose;2021-04-11;7
2ªDose;2021-04-12;636
2ªDose;2021-04-13;623
2ªDose;2021-04-14;629
2ªDose;2021-04-15;597
2ªDose;2021-04-16;734
2ªDose;2021-04-19;892
2ªDose;2021-04-20;1283
2ªDose;2021-04-21;598
2ªDose;2021-04-22;1115
2ªDose;2021-04-23;1117
2ªDose;2021-04-26;1143
2ªDose;2021-04-27;226
2ªDose;2021-04-28;130
2ªDose;2021-04-29;82
2ªDose;2021-04-30;84
